,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
9,DAL,24.0,24.0,29.0,14.0,2.0,59.0,1162.0,1266.0,52.1,1.5,865.0,970.0,52.9,2.2,81.0,67.0,28.0,3.0,5.0,1.0,116.0,bennja01,11.3,91.3,102.0,64.0,21.0,2013-14,12.2,12.2,512.0,512.0,69.0,19.09,1,44.0,56.0
118,ANA,24.0,24.0,36.0,14.0,0.0,49.0,1011.0,1051.0,51.0,4.8,821.0,817.0,49.9,3.3,66.0,54.0,11.0,5.0,8.0,0.0,178.0,getzlry01,10.5,90.9,101.0,79.0,4.0,2009-10,12.8,12.8,284.0,284.0,39.0,21.4,1,51.0,49.0
297,CHI,24.0,24.0,13.0,5.0,2.0,115.0,1204.0,1240.0,50.7,-1.4,937.0,977.0,51.0,-1.9,82.0,41.0,10.0,0.0,1.0,1.0,67.0,keithdu01,9.3,93.1,102.0,56.0,30.0,2007-08,8.1,8.1,265.0,265.0,52.0,25.34,1,48.3,51.7
535,WSH,24.0,24.0,36.0,23.0,0.0,20.0,1051.0,1418.0,57.4,5.7,775.0,992.0,56.1,6.2,72.0,75.0,37.0,7.0,13.0,0.0,181.0,ovechal01,12.2,93.4,105.0,89.0,45.0,2009-10,13.6,13.6,665.0,665.0,66.0,21.48,1,43.8,56.2
547,ANA,24.0,24.0,31.0,17.0,1.0,34.0,1287.0,1288.0,50.0,3.6,1051.0,1002.0,48.8,2.2,82.0,54.0,20.0,2.0,6.0,1.0,93.0,perryco01,9.9,91.0,100.0,111.0,0.0,2009-10,10.0,10.0,450.0,450.0,38.0,21.04,1,50.1,49.9
688,CHI,24.0,24.0,20.0,4.0,1.0,16.0,529.0,713.0,57.4,2.8,380.0,551.0,59.2,3.2,47.0,16.0,19.0,5.0,2.0,2.0,24.0,toewsjo01,11.6,92.8,104.0,27.0,28.0,2012-13,16.1,16.1,224.0,224.0,56.0,19.21,1,44.8,55.2
117,NYI,24.0,24.0,1.0,0.0,0.0,3.0,86.0,54.0,38.6,-14.0,73.0,38.0,34.2,-17.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,fatadr01,4.2,96.1,100.0,4.0,-1.0,2007-08,0.0,0.0,10.0,10.0,4.0,17.3,1,41.5,58.5
135,SJS,24.0,24.0,3.0,0.0,0.0,16.0,319.0,367.0,53.5,-2.3,234.0,297.0,55.9,-1.5,51.0,12.0,5.0,0.0,0.0,0.0,45.0,gocma01,5.0,84.0,89.1,12.0,-15.0,2007-08,5.7,5.7,130.0,130.0,19.0,10.41,1,50.2,49.8
175,EDM,24.0,24.0,29.0,22.0,0.0,29.0,995.0,958.0,49.1,3.3,738.0,724.0,49.5,2.6,74.0,64.0,12.0,2.0,8.0,0.0,24.0,hemskal01,9.1,90.8,99.9,34.0,-9.0,2007-08,10.9,10.9,339.0,339.0,42.0,18.35,1,48.7,51.3
189,NYR,24.0,24.0,2.0,0.0,0.0,18.0,446.0,385.0,46.3,-10.0,318.0,293.0,48.0,-10.0,70.0,8.0,2.0,0.0,0.0,0.0,174.0,hollwry01,2.0,93.1,95.0,96.0,-12.0,2007-08,3.4,3.4,92.0,92.0,10.0,8.18,1,48.3,51.7
