,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
9,FLA,27.0,27.0,11.0,2.0,1.0,119.0,1201.0,1094.0,47.7,-5.5,955.0,850.0,47.1,-5.4,73.0,25.0,2.0,0.0,0.0,0.0,112.0,,,allenbr01,8.3,93.3,101.0,67.0,5.0,2007-08,3.0,3.0,164.0,164.0,27.0,21.17,1,51.7,48.3
28,TOR,27.0,27.0,25.0,4.0,1.0,51.0,955.0,987.0,50.8,-3.1,717.0,768.0,51.7,-2.1,72.0,53.0,14.0,5.0,12.0,0.0,102.0,,,antroni01,10.0,90.6,100.0,92.0,10.0,2007-08,15.8,15.8,297.0,297.0,30.0,20.07,1,46.6,53.4
49,TOT,27.0,27.0,11.0,4.0,0.0,51.0,787.0,792.0,50.2,4.6,624.0,621.0,49.9,2.4,63.0,25.0,2.0,0.0,1.0,0.0,34.0,,,backmch01,7.3,92.0,99.3,50.0,-2.0,2007-08,5.9,5.9,120.0,120.0,13.0,19.13,1,47.5,52.5
54,DAL,27.0,27.0,2.0,0.0,0.0,6.0,209.0,211.0,50.2,-3.2,169.0,153.0,47.5,-5.2,48.0,10.0,1.0,0.0,0.0,0.0,72.0,,,barchkr01,6.4,92.1,98.5,105.0,-3.0,2007-08,4.3,4.3,37.0,37.0,10.0,6.3,1,32.8,67.2
68,ANA,27.0,27.0,11.0,7.0,1.0,71.0,1151.0,1258.0,52.2,-3.1,959.0,1000.0,51.0,-4.1,82.0,46.0,2.0,2.0,0.0,0.0,97.0,,,beaucfr01,6.6,92.1,98.7,59.0,-9.0,2007-08,1.4,1.4,302.0,302.0,36.0,25.32,1,47.3,52.7
86,TOR,27.0,27.0,6.0,0.0,0.0,9.0,285.0,256.0,47.3,-6.8,209.0,195.0,48.3,-5.3,35.0,10.0,4.0,0.0,0.0,0.0,28.0,,,bellma01,11.1,89.5,100.0,60.0,-2.0,2007-08,9.5,9.5,75.0,75.0,13.0,9.45,1,48.8,51.3
93,NYR,27.0,27.0,4.0,1.0,0.0,49.0,486.0,483.0,49.8,-8.4,341.0,366.0,51.8,-7.6,75.0,11.0,2.0,0.0,0.0,0.0,91.0,,,bettsbl01,4.5,93.7,98.2,20.0,-4.0,2007-08,2.4,2.4,134.0,134.0,32.0,11.52,1,51.1,48.9
108,SJS,27.0,27.0,9.0,5.0,0.0,26.0,610.0,835.0,57.8,4.3,466.0,634.0,57.6,2.3,69.0,44.0,13.0,4.0,10.0,0.0,123.0,,,cheecjo01,8.4,93.2,101.0,46.0,11.0,2007-08,10.5,10.5,343.0,343.0,24.0,16.36,1,41.8,58.2
148,TOT,27.0,27.0,1.0,0.0,0.0,39.0,336.0,352.0,51.2,-1.7,242.0,258.0,51.6,-0.3,34.0,17.0,0.0,0.0,0.0,1.0,69.0,,,davisro01,4.9,91.2,96.0,53.0,-6.0,2007-08,3.1,3.1,58.0,58.0,14.0,13.52,1,52.3,47.7
164,WSH,27.0,27.0,6.0,0.0,1.0,60.0,594.0,627.0,51.4,-7.7,442.0,452.0,50.6,-8.7,51.0,35.0,2.0,1.0,0.0,0.0,102.0,,,erskijo01,7.8,92.0,99.8,96.0,1.0,2007-08,4.2,4.2,108.0,108.0,20.0,15.43,1,42.9,57.1
