,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
13,PIT,33.0,33.0,9.0,0.0,2.0,64.0,647.0,565.0,46.6,-7.8,460.0,424.0,48.0,-6.0,80.0,15.0,2.0,1.0,0.0,2.0,171.0,adamscr01,5.6,91.1,96.8,76.0,-5.0,2010-11,4.4,4.4,138.0,,24.0,12.11,1,50.6,49.4
30,PIT,33.0,33.0,11.0,0.0,0.0,8.0,491.0,479.0,49.4,-5.1,377.0,358.0,48.7,-6.9,64.0,3.0,5.0,0.0,0.0,0.0,95.0,ashamar01,9.6,89.7,99.3,76.0,-5.0,2011-12,10.2,10.2,92.0,,13.0,9.14,1,50.6,49.4
61,PHX,33.0,33.0,23.0,4.0,0.0,45.0,1059.0,1143.0,51.9,1.3,814.0,858.0,51.3,2.2,82.0,29.0,11.0,2.0,1.0,1.0,71.0,belaner01,9.7,92.2,101.0,36.0,11.0,2010-11,10.2,10.2,248.0,,45.0,17.21,1,53.5,46.5
82,FLA,33.0,33.0,5.0,0.0,0.0,11.0,458.0,322.0,41.3,-11.0,332.0,231.0,41.0,-12.0,45.0,2.0,3.0,0.0,0.0,0.0,134.0,bradlma01,6.5,93.9,100.0,31.0,-3.0,2011-12,8.6,8.6,61.0,,7.0,10.52,1,50.0,50.0
97,PHI,33.0,33.0,25.0,9.0,0.0,17.0,1176.0,1173.0,49.9,-1.7,875.0,890.0,50.4,-1.7,77.0,16.0,28.0,6.0,6.0,0.0,36.0,brierda01,10.4,92.4,102.0,87.0,20.0,2010-11,13.8,13.8,386.0,,33.0,18.19,1,45.8,54.2
131,COL,33.0,33.0,12.0,5.0,0.0,162.0,901.0,762.0,45.8,1.5,623.0,578.0,48.1,2.7,64.0,28.0,1.0,1.0,2.0,0.0,55.0,clarkbr01,8.9,92.4,101.0,28.0,6.0,2009-10,4.0,4.0,161.0,,20.0,19.08,1,47.6,52.4
148,TOT,33.0,33.0,21.0,10.0,1.0,48.0,953.0,1001.0,51.2,1.4,717.0,731.0,50.5,2.0,81.0,35.0,12.0,2.0,2.0,2.0,70.0,cullema01,9.2,89.7,99.0,34.0,-7.0,2009-10,8.2,8.2,368.0,,53.0,18.45,1,50.2,49.8
193,ANA,33.0,33.0,0.0,0.0,0.0,1.0,99.0,95.0,49.0,-2.1,83.0,76.0,47.8,-2.2,12.0,0.0,0.0,0.0,0.0,0.0,11.0,greenjo01,1.9,93.3,95.3,6.0,-3.0,2010-11,0.0,0.0,20.0,,3.0,10.01,1,43.5,56.5
218,TOT,33.0,33.0,13.0,15.0,0.0,80.0,997.0,942.0,48.6,-0.7,753.0,680.0,47.5,-1.1,72.0,38.0,2.0,0.0,1.0,0.0,21.0,kaberto01,7.8,90.5,98.3,12.0,-18.0,2011-12,3.4,3.4,188.0,,18.0,17.43,1,46.3,53.7
239,TBL,33.0,33.0,15.0,4.0,0.0,115.0,1099.0,1250.0,53.2,1.7,808.0,937.0,53.7,0.7,79.0,35.0,3.0,2.0,1.0,0.0,90.0,kubinpa01,7.4,92.1,99.6,62.0,2.0,2010-11,5.1,5.1,196.0,,19.0,19.14,1,50.2,49.8
287,ANA,33.0,33.0,20.0,2.0,0.0,178.0,1323.0,1177.0,47.1,4.4,991.0,911.0,47.9,4.4,78.0,38.0,3.0,0.0,0.0,0.0,141.0,lydmato01,12.1,92.9,105.0,42.0,32.0,2010-11,3.0,3.0,195.0,,11.0,22.1,1,57.2,42.8
314,LAK,33.0,33.0,5.0,0.0,0.0,85.0,919.0,961.0,51.1,-3.4,707.0,684.0,49.2,-4.6,57.0,47.0,4.0,1.0,0.0,1.0,35.0,mitchwi01,9.3,91.5,100.0,21.0,4.0,2010-11,8.5,8.5,152.0,,12.0,21.49,1,54.6,45.4
338,PHX,33.0,33.0,8.0,1.0,0.0,78.0,924.0,835.0,47.5,-4.1,742.0,643.0,46.4,-4.0,59.0,20.0,2.0,0.0,0.0,0.0,95.0,morride01,6.9,91.7,98.7,38.0,-12.0,2011-12,2.8,2.8,159.0,,12.0,18.59,1,45.8,54.2
365,CBJ,33.0,33.0,13.0,0.0,0.0,49.0,868.0,758.0,46.6,-5.7,644.0,586.0,47.6,-5.3,82.0,8.0,6.0,1.0,0.0,1.0,162.0,pahlssa01,6.1,91.4,97.5,30.0,-13.0,2010-11,6.5,6.5,181.0,,28.0,15.2,1,66.4,33.6
406,OTT,33.0,33.0,12.0,0.0,2.0,137.0,1232.0,1208.0,49.5,-6.4,917.0,863.0,48.5,-5.8,80.0,50.0,1.0,1.0,4.0,0.0,134.0,phillch02,8.2,93.4,101.0,16.0,12.0,2011-12,5.9,5.9,190.0,,18.0,19.07,1,50.3,49.7
416,EDM,33.0,33.0,3.0,0.0,1.0,24.0,544.0,375.0,40.8,-7.2,411.0,274.0,40.0,-10.0,40.0,15.0,4.0,0.0,0.0,0.0,57.0,pisanfe01,6.5,90.3,96.8,10.0,-16.0,2009-10,7.4,7.4,90.0,,13.0,14.35,1,52.7,47.3
431,WSH,33.0,33.0,4.0,1.0,0.0,27.0,294.0,289.0,49.6,-5.5,215.0,211.0,49.5,-6.1,21.0,12.0,2.0,0.0,0.0,0.0,7.0,potito01,8.0,88.8,96.8,8.0,-4.0,2010-11,10.0,10.0,40.0,,3.0,18.22,1,47.9,52.1
446,FLA,33.0,33.0,17.0,1.0,0.0,57.0,1046.0,1022.0,49.4,-1.2,793.0,765.0,49.1,-1.3,82.0,17.0,14.0,4.0,0.0,0.0,71.0,reasoma01,7.6,93.1,100.0,22.0,2.0,2010-11,11.3,11.3,232.0,,52.0,17.1,1,58.7,41.3
461,PHX,33.0,33.0,12.0,0.0,0.0,91.0,833.0,860.0,50.8,1.4,637.0,618.0,49.2,0.4,54.0,16.0,1.0,0.0,0.0,0.0,62.0,rozsimi01,8.2,93.9,102.0,34.0,8.0,2011-12,2.0,2.0,109.0,,13.0,19.2,1,53.7,46.3
477,TOT,33.0,33.0,16.0,7.0,1.0,135.0,1352.0,1220.0,47.4,-4.5,1063.0,933.0,46.7,-5.2,82.0,35.0,5.0,1.0,1.0,0.0,162.0,saleiru01,7.7,92.1,99.8,98.0,-4.0,2007-08,5.4,5.4,250.0,,13.0,22.27,1,53.1,46.9
491,VAN,33.0,33.0,5.0,11.0,1.0,79.0,972.0,843.0,46.4,-4.9,741.0,677.0,47.7,-3.8,63.0,46.0,2.0,1.0,6.0,0.0,36.0,salosa01,6.9,94.4,101.0,38.0,8.0,2007-08,6.6,6.6,278.0,,18.0,23.39,1,49.7,50.3
512,CGY,33.0,33.0,6.0,0.0,0.0,60.0,779.0,802.0,50.7,3.6,579.0,570.0,49.6,3.2,62.0,33.0,1.0,0.0,0.0,0.0,144.0,saricco01,7.2,93.4,100.0,66.0,1.0,2011-12,2.8,2.8,107.0,,9.0,16.07,1,52.4,47.6
533,NYI,33.0,33.0,2.0,1.0,0.0,12.0,370.0,237.0,39.0,-8.2,262.0,180.0,40.7,-6.9,34.0,2.0,1.0,0.0,0.0,0.0,53.0,simjo01,6.1,89.3,95.4,22.0,-10.0,2010-11,2.6,2.6,59.0,,13.0,11.24,1,63.1,36.9
551,TOT,33.0,33.0,2.0,0.0,0.0,14.0,424.0,448.0,51.4,0.5,309.0,326.0,51.3,-0.3,48.0,12.0,3.0,1.0,0.0,0.0,49.0,sturmma01,4.6,89.9,94.5,25.0,-13.0,2011-12,4.6,4.6,100.0,,12.0,12.19,1,52.7,47.3
