,gm_result,age,ith_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,ShotHand,Position,Url,Name,response_assists,response_goal,response_points,Year,Height,Weight,Drafts,draft_years
0,0.5,22.603,5.5,0.7,0.3,0.0,0.0,1.9,0.3,0.0,0.0,0.0,0.0,0.0,15.6,12.342,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
1,0.5,22.62,6.5,0.7,0.2,0.1,0.0,1.9,0.2,0.0,0.0,0.0,0.1,0.0,16.2,12.624,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
2,0.4,22.637,7.5,0.7,0.2,0.1,0.0,1.9,0.2,0.0,0.0,0.0,0.1,0.0,17.1,13.211,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,1.0,1.0,2016.0,175.0,180.0,112.0,2014.0
3,0.3,22.653,8.5,0.7,0.2,0.1,0.1,1.9,0.2,0.0,0.0,0.0,0.1,0.0,17.3,13.541,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,2.0,2.0,2016.0,175.0,180.0,112.0,2014.0
4,0.3,22.667,9.5,0.6,0.2,0.1,0.2,2.1,0.2,0.0,0.0,0.0,0.1,0.0,18.0,14.047,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,2.0,2.0,2016.0,175.0,180.0,112.0,2014.0
5,0.4,22.673,10.5,0.6,0.2,0.2,0.3,0.8,0.2,0.0,0.0,0.0,0.2,0.0,18.7,14.152,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,2.0,3.0,2016.0,175.0,180.0,112.0,2014.0
6,0.4,22.678,11.5,0.6,0.2,0.2,0.3,0.8,0.2,0.0,0.0,0.0,0.2,0.0,18.1,13.324,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,2.0,3.0,2016.0,175.0,180.0,112.0,2014.0
7,0.4,22.685,12.5,0.6,0.2,0.2,0.3,0.8,0.2,0.0,0.0,0.0,0.2,0.0,17.5,12.537,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,1.0,2.0,2016.0,175.0,180.0,112.0,2014.0
8,0.5,22.691,13.5,0.7,0.1,0.2,0.2,0.8,0.1,0.0,0.0,0.0,0.2,0.0,17.5,12.596,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,0.0,1.0,2016.0,175.0,180.0,112.0,2014.0
9,0.4,22.697,14.5,0.7,0.0,0.2,-0.1,0.8,0.0,0.0,0.0,0.0,0.2,0.0,16.9,12.289,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,2.0,0.0,2.0,2016.0,175.0,180.0,112.0,2014.0
10,0.4,22.703,15.5,0.7,0.0,0.2,-0.1,0.8,0.0,0.0,0.0,0.0,0.2,0.0,16.5,11.98,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,0.0,1.0,2016.0,175.0,180.0,112.0,2014.0
11,0.4,22.71,16.5,0.6,0.0,0.1,-0.2,0.6,0.0,0.0,0.0,0.0,0.1,0.0,16.3,12.057,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,0.0,1.0,2016.0,175.0,180.0,112.0,2014.0
12,0.4,22.717,17.5,0.6,0.0,0.1,-0.3,0.8,0.0,0.0,0.0,0.0,0.1,0.0,15.4,11.36,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,0.0,1.0,2016.0,175.0,180.0,112.0,2014.0
13,0.4,22.724,18.5,0.5,0.0,0.1,-0.3,0.6,0.0,0.0,0.0,0.0,0.1,0.0,15.7,11.035,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,0.0,1.0,2016.0,175.0,180.0,112.0,2014.0
14,0.4,22.731,19.5,0.5,0.0,0.1,-0.5,0.4,0.0,0.0,0.0,0.0,0.1,0.0,15.6,10.882,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
15,0.3,22.743,20.5,0.5,0.0,0.0,-0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,15.5,11.099,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
16,0.2,22.756,21.5,0.5,0.0,0.0,-0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,15.6,11.034,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
17,0.3,22.767,22.5,0.5,0.2,0.0,-0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,16.0,11.442,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
18,0.2,22.779,23.5,0.5,0.2,0.0,-0.7,0.2,0.2,0.0,0.0,0.0,0.0,0.0,16.1,11.16,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
19,0.2,22.791,24.5,0.5,0.2,0.1,-0.5,0.4,0.2,0.0,0.0,0.0,0.1,0.0,16.9,11.504,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
20,0.3,22.803,25.5,0.5,0.2,0.1,-0.4,0.4,0.2,0.0,0.0,0.0,0.1,0.0,17.1,11.511,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,0.0,0.0,2016.0,175.0,180.0,112.0,2014.0
21,0.2,22.815,26.5,0.6,0.2,0.1,-0.4,0.4,0.2,0.0,0.0,0.0,0.1,0.0,16.9,11.509,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,2.0,2.0,2016.0,175.0,180.0,112.0,2014.0
22,0.3,22.827,27.5,0.6,0.2,0.1,-0.3,0.2,0.2,0.0,0.0,0.0,0.1,0.0,17.6,12.209,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,0.0,2.0,2.0,2016.0,175.0,180.0,112.0,2014.0
23,0.3,22.838,28.5,0.7,0.2,0.1,-0.3,0.2,0.2,0.0,0.0,0.0,0.1,0.0,17.0,12.046,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,2.0,3.0,2016.0,175.0,180.0,112.0,2014.0
24,0.4,22.85,29.5,0.7,0.3,0.1,0.0,0.2,0.3,0.0,0.0,0.0,0.1,0.0,17.2,12.271,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,2.0,3.0,2016.0,175.0,180.0,112.0,2014.0
25,0.5,22.856,30.5,0.6,0.3,0.1,0.0,0.2,0.3,0.0,0.0,0.0,0.1,0.0,17.1,12.272,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,2.0,3.0,2016.0,175.0,180.0,112.0,2014.0
26,0.6,22.861,31.5,0.5,0.4,0.1,0.3,0.2,0.4,0.0,0.0,0.0,0.1,0.0,17.2,12.45,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,0.0,1.0,2016.0,175.0,180.0,112.0,2014.0
27,0.6,22.867,32.5,0.5,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,17.4,12.535,,,0.0,0.0,R,L,a/arvidvi01,Viktor Arvidsson,1.0,0.0,1.0,2016.0,175.0,180.0,112.0,2014.0
