,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,W,20.05,1,WSH,CBJ,2005-10-05,Home,2,0,1,2,1,1,0,,,,21,17.6,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
1,L,20.05,2,WSH,ATL,2005-10-07,Home,0,1,-2,0,0,0,0,,,,22,17.73,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
2,L,20.06,3,WSH,ATL,2005-10-08,Away,0,1,0,4,0,0,0,,,,21,16.35,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
3,W,20.06,4,WSH,NYR,2005-10-10,Home,1,0,1,2,0,1,0,,,,18,15.05,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
4,L,20.07,5,WSH,CAR,2005-10-12,Away,1,0,0,0,1,0,0,,,,17,13.88,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
5,L,20.07,6,WSH,NYI,2005-10-13,Home,0,1,-1,0,0,0,0,,,,28,25.32,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
6,W,20.08,7,WSH,TBL,2005-10-16,Home,0,1,1,0,0,0,0,,,,26,20.28,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
7,L,20.09,8,WSH,FLA,2005-10-20,Away,2,0,1,0,2,0,0,,,,26,20.0,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
8,L,20.1,9,WSH,CAR,2005-10-22,Home,0,0,0,0,0,0,0,,,,22,17.92,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
9,W,20.11,10,WSH,BUF,2005-10-26,Away,0,1,0,0,0,0,0,,,,18,17.6,,,,,2006,Alex Ovechkin,o/ovechal01,190,239,R,L,1,2004
