,gm_result,age,ith_game,team_for,team_agt,date_game,gm_loc,goals_all,assists_all,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,assists_pp,assists_ev,assists_sh,num_shifts,time_on_ice,hits_all,blocks_all,fc_win,fc_loss,Year,Name,Url,Height,Weight,ShotHand,Position,Drafts,draft_years
0,L,19.32,1,CBJ,ATL,2003-10-09,Away,0,0,0,0,0,0,0,,,,14,12.02,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
1,W,19.32,2,CBJ,NYR,2003-10-11,Home,1,0,1,0,0,1,0,,,,17,15.37,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
2,W,19.33,3,CBJ,VAN,2003-10-13,Home,1,0,1,2,1,0,0,,,,20,14.52,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
3,W,19.33,4,CBJ,CHI,2003-10-16,Home,1,1,0,0,0,1,0,,,,20,19.13,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
4,L,19.34,5,CBJ,NSH,2003-10-18,Away,0,0,0,0,0,0,0,,,,19,18.38,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
5,L,19.35,6,CBJ,DET,2003-10-22,Away,1,0,0,2,1,0,0,,,,20,18.92,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
6,L,19.35,7,CBJ,TBL,2003-10-23,Home,0,0,0,2,0,0,0,,,,21,17.83,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
7,L,19.36,8,CBJ,DAL,2003-10-25,Home,1,0,-3,0,0,1,0,,,,20,21.13,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
8,L,19.37,9,CBJ,VAN,2003-10-28,Away,1,0,-2,0,1,0,0,,,,21,17.55,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
9,L,19.37,10,CBJ,EDM,2003-10-30,Away,2,0,0,2,1,1,0,,,,20,16.32,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
10,L,19.38,11,CBJ,CGY,2003-11-01,Away,0,0,-1,4,0,0,0,,,,17,15.73,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
11,W,19.39,12,CBJ,ATL,2003-11-07,Home,0,0,-1,4,0,0,0,,,,20,15.78,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
12,W,19.4,13,CBJ,CGY,2003-11-09,Home,0,0,-2,2,0,0,0,,,,21,15.28,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
13,L,19.41,14,CBJ,MTL,2003-11-11,Away,1,0,0,2,0,1,0,,,,20,15.3,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
14,L,19.41,15,CBJ,OTT,2003-11-13,Away,0,0,0,0,0,0,0,,,,22,18.17,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
15,L,19.41,16,CBJ,BOS,2003-11-14,Home,0,0,0,2,0,0,0,,,,22,17.72,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
16,W,19.42,17,CBJ,PHX,2003-11-16,Home,1,0,0,0,0,1,0,,,,24,19.93,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
17,W,19.43,18,CBJ,DET,2003-11-19,Away,0,0,0,0,0,0,0,,,,17,15.53,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
18,L,19.43,19,CBJ,DET,2003-11-20,Home,1,0,1,0,1,0,0,,,,18,16.28,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
19,L,19.44,20,CBJ,NYI,2003-11-22,Home,1,0,2,2,1,0,0,,,,25,17.78,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
20,W,19.44,21,CBJ,EDM,2003-11-25,Home,0,1,-1,2,0,0,0,,,,22,15.77,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
21,L,19.45,22,CBJ,NSH,2003-11-26,Away,1,0,0,0,1,0,0,,,,19,16.15,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
22,L,19.45,23,CBJ,WSH,2003-11-29,Home,2,0,-1,0,1,1,0,,,,21,17.6,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
23,L,19.46,24,CBJ,MDA,2003-12-02,Home,1,1,0,2,0,1,0,,,,20,17.07,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
24,L,19.47,25,CBJ,NSH,2003-12-04,Home,1,0,0,4,1,0,0,,,,23,19.63,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
25,L,19.47,26,CBJ,COL,2003-12-06,Away,1,0,1,2,1,0,0,,,,22,17.73,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
26,L,19.48,27,CBJ,PHI,2003-12-10,Home,0,0,0,0,0,0,0,,,,23,15.33,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
27,L,19.49,28,CBJ,STL,2003-12-12,Home,1,0,-1,4,0,1,0,,,,27,21.48,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
28,L,19.49,29,CBJ,PIT,2003-12-13,Away,0,1,0,2,0,0,0,,,,23,20.03,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
29,W,19.5,30,CBJ,STL,2003-12-16,Away,0,0,-1,0,0,0,0,,,,26,18.47,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
30,L,19.51,31,CBJ,CGY,2003-12-19,Home,1,0,0,0,1,0,0,,,,24,19.57,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
31,L,19.51,32,CBJ,MIN,2003-12-20,Away,0,0,0,6,0,0,0,,,,21,15.77,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
32,L,19.52,33,CBJ,PHX,2003-12-23,Home,1,0,0,0,1,0,0,,,,18,18.57,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
33,W,19.53,34,CBJ,CHI,2003-12-26,Away,1,0,0,0,1,0,0,,,,23,15.48,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
34,L,19.53,35,CBJ,DAL,2003-12-27,Home,1,0,-1,0,1,0,0,,,,21,17.42,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
35,L,19.54,36,CBJ,STL,2003-12-29,Home,0,0,-1,0,0,0,0,,,,22,18.55,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
36,W,19.54,37,CBJ,SJS,2003-12-31,Home,0,0,0,2,0,0,0,,,,22,18.28,,,,,2004.0,Rick Nash,n/nashri01,193,220,L,L,1.0,2002.0
