,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CAR,31,648,627,50.8,-5.1,500,474,51.3,-5.1,9.8,91.4,101.,51.6,48.4
2,2008-09,CAR,32,845,853,49.8,-3.6,639,619,50.8,-3.2,8.1,93.3,101.,51.0,49.0
3,2009-10,TOT,33,1001,953,51.2,1.4,731,717,50.5,2.0,9.2,89.7,99.0,49.8,50.2
4,2009-10,CAR,33,754,723,51.0,1.6,555,546,50.4,2.8,10.0,90.5,100.,49.4,50.6
5,2009-10,OTT,33,247,230,51.8,0.2,176,171,50.7,-1.8,7.0,87.5,94.5,51.0,49.0
6,2010-11,MIN,34,814,1040,43.9,-2.8,603,804,42.9,-3.7,7.6,91.8,99.4,42.1,57.9
7,2011-12,MIN,35,930,1025,47.6,3.3,690,760,47.6,2.3,7.2,91.1,98.3,43.9,56.1
8,2012-13,MIN,36,464,500,48.1,-4.4,347,377,47.9,-5.9,12.6,91.8,104.,43.4,56.6
9,2013-14,NSH,37,920,897,50.6,2.3,691,679,50.4,1.4,9.0,90.7,99.7,48.0,52.0
10,2014-15,NSH,38,704,625,53.0,-0.5,537,458,54.0,0.6,8.4,92.9,101.,54.4,45.6
11,2015-16,PIT,39,793,840,48.6,-5.4,601,617,49.3,-4.5,7.7,92.2,99.8,36.0,64.0
12,2016-17,PIT,40,257,242,51.5,-0.2,198,163,54.8,2.1,7.5,90.2,97.6,34.0,66.0
