,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,ANA,22,895,674,57.0,2.8,703,555,55.9,2.1,11.6,90.8,102.,58.6,41.4
2,2008-09,ANA,23,1232,920,57.2,7.2,979,770,56.0,5.7,9.4,90.7,100.,57.3,42.7
3,2009-10,ANA,24,1288,1287,50.0,3.6,1002,1051,48.8,2.2,9.9,91.0,100.,49.9,50.1
4,2010-11,ANA,25,1223,1366,47.2,3.1,958,1049,47.7,3.3,11.5,90.6,102.,46.9,53.1
5,2011-12,ANA,26,1255,1090,53.5,6.9,916,815,52.9,6.4,8.0,90.6,98.6,49.1,50.9
6,2012-13,ANA,27,634,605,51.2,3.4,469,435,51.9,3.4,11.0,90.9,101.,48.7,51.3
7,2013-14,ANA,28,1239,1095,53.1,3.2,932,802,53.7,3.8,11.8,91.3,103.,50.9,49.1
8,2014-15,ANA,29,956,927,50.8,0.2,724,674,51.8,1.3,12.9,89.7,102.,52.2,47.8
9,2015-16,ANA,30,1178,1070,52.4,0.1,886,790,52.9,-0.4,8.4,92.0,100.,58.0,42.0
10,2016-17,ANA,31,349,295,54.2,7.4,258,224,53.5,6.0,7.3,90.5,97.8,51.3,48.7
