,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,CAR,23,44,20,-7,1,0,0,0,0,0,0,6.7,,6.7,,4:30,,,,
2,2001-02,CAR,24,33,38,2,0,0,0,0,1,0,0,0.0,,0.0,,5:54,,,,
3,2002-03,CAR,25,81,71,-11,5,1,0,1,11,1,0,5.6,,5.6,,12:12,,,,
4,2003-04,CAR,26,80,69,-5,6,0,1,0,10,0,0,6.4,,6.4,,13:41,,,,
5,2005-06,CAR,28,67,51,1,8,1,1,2,9,0,2,14.7,,14.7,,12:18,,,,
6,2006-07,CAR,29,82,54,-9,6,0,1,1,6,0,1,9.9,,9.9,,10:04,,,,
7,2007-08,TOT,30,75,58,-16,3,0,1,1,7,0,0,6.3,110,6.3,110,10:48,117,43,22,9
8,2007-08,CAR,30,40,34,-8,2,0,0,0,3,0,0,6.5,64,6.5,64,9:48,67,20,13,4
9,2007-08,CHI,30,35,24,-8,1,0,1,1,4,0,0,6.3,46,6.3,46,11:56,50,23,9,5
10,2008-09,TOT,31,45,22,-3,1,1,0,0,5,0,0,4.3,81,4.3,81,8:41,67,20,7,3
11,2008-09,CHI,31,36,22,-3,1,1,0,0,4,0,0,5.3,67,5.3,67,8:43,53,16,7,3
12,2008-09,PIT,31,9,0,0,0,0,0,0,1,0,0,0.0,14,0.0,14,8:34,14,4,0,0
13,2009-10,PIT,32,82,72,-5,0,0,0,0,10,0,0,0.0,147,0.0,147,11:06,193,58,22,12
14,2010-11,PIT,33,80,76,-5,2,0,2,1,9,0,2,4.4,138,4.4,138,12:11,171,64,24,15
15,2011-12,PIT,34,82,34,-6,5,0,0,0,10,0,3,6.6,130,6.6,130,11:17,162,45,13,7
16,2012-13,PIT,35,48,28,-1,2,0,1,0,6,0,0,6.5,71,6.5,71,11:10,107,37,5,7
17,2013-14,PIT,36,82,46,-16,5,0,0,0,6,0,0,6.8,125,6.8,125,12:28,190,59,15,16
18,2014-15,PIT,37,70,44,-1,1,0,0,1,5,0,1,2.0,76,2.0,76,9:45,183,29,6,7
