,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,CGY,19,5,23,0,0,0,0,0,0,0,0,0.0,,0.0,,</td>,,,,
2,1999-00,CGY,21,13,18,-3,1,0,0,0,1,0,0,33.3,,33.3,,7:13,,,,
3,2000-01,CGY,22,4,21,0,0,0,0,0,0,0,0,0.0,,0.0,,6:04,,,,
4,2001-02,CGY,23,51,79,-3,6,1,0,0,5,0,0,10.8,,10.8,,9:25,,,,
5,2002-03,CGY,24,50,51,-7,3,0,0,1,1,0,0,5.1,,5.1,,9:13,,,,
6,2003-04,MTL,25,52,41,6,9,0,1,1,5,0,0,11.0,,11.0,,12:32,,,,
7,2005-06,MTL,27,76,113,9,8,1,2,2,9,1,2,8.2,,8.2,,14:19,,,,
8,2006-07,MTL,28,52,46,-6,5,0,0,0,3,0,2,7.8,,7.8,,11:55,,,,
9,2007-08,MTL,29,44,48,0,3,0,0,0,5,0,0,4.5,109,4.5,109,11:38,119,27,8,11
10,2008-09,TOT,30,62,42,-6,7,0,0,1,5,0,0,7.8,147,7.8,147,10:43,185,38,15,18
11,2008-09,MTL,30,42,27,-5,6,0,0,1,4,0,0,9.2,108,9.2,108,10:51,119,26,12,12
12,2008-09,DAL,30,20,15,-1,1,0,0,0,1,0,0,4.0,39,4.0,39,10:26,66,12,3,6
13,2009-10,BOS,31,77,53,-7,4,0,1,2,8,0,1,4.5,170,4.5,170,12:50,182,31,25,13
14,2010-11,NSH,32,2,4,-2,0,0,0,0,0,0,0,0.0,3,0.0,3,9:49,5,0,1,0
15,2012-13,CGY,34,36,22,-2,3,0,1,2,4,0,0,12.9,58,12.9,58,7:00,62,21,4,7
