,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,LAK,23,62,16,14,6,1,2,1,11,1,0,11.3,,11.3,,13:25,,,,
2,2001-02,LAK,24,53,21,2,5,2,1,1,10,6,0,11.9,,11.9,,14:33,,,,
3,2002-03,LAK,25,62,26,-5,13,0,3,1,15,4,0,14.0,,14.0,,17:42,,,,
4,2003-04,LAK,26,81,44,-16,12,0,1,2,16,3,1,9.8,,9.8,,17:01,,,,
5,2005-06,LAK,28,65,62,-5,12,5,0,1,17,2,1,14.3,,14.3,,17:33,,,,
6,2006-07,TOT,29,80,26,-2,13,4,0,1,16,2,0,11.4,,11.4,,16:15,,,,
7,2006-07,CAR,29,56,14,-2,5,3,0,1,10,2,0,8.0,,8.0,,14:51,,,,
8,2006-07,ATL,29,24,12,0,8,1,0,0,6,0,0,18.4,,18.4,,19:29,,,,
9,2007-08,MIN,30,75,30,-6,5,7,1,3,17,7,0,11.3,230,11.3,230,17:13,51,46,40,35
10,2008-09,MIN,31,79,26,-5,9,4,0,4,12,9,2,8.8,259,8.8,259,17:50,45,48,48,34
11,2009-10,TOT,32,77,32,2,12,3,0,3,20,6,0,9.9,250,9.9,250,15:31,47,29,40,23
12,2009-10,MIN,32,60,28,-1,10,3,0,3,16,6,0,10.8,192,10.8,192,15:45,36,20,31,19
13,2009-10,WSH,32,17,4,3,2,0,0,0,4,0,0,6.5,58,6.5,58,14:40,11,9,9,4
14,2010-11,PHX,33,82,36,11,11,1,1,2,23,4,0,10.2,248,10.2,248,17:21,71,45,45,29
15,2011-12,EDM,34,78,32,-13,2,1,1,0,8,4,0,3.4,217,3.4,217,14:44,36,41,50,38
16,2012-13,EDM,35,26,10,-1,0,0,0,0,3,0,0,0.0,54,0.0,54,14:07,19,15,12,9
