,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,NYI,20,25,50,1,0,0,0,0,1,0,0,0.0,,0.0,,</td>,,,,
2,1998-99,NYI,21,59,83,-8,1,0,1,0,6,0,0,3.6,,3.6,,18:54,,,,
3,1999-00,NYI,22,65,57,-27,2,0,0,1,8,0,1,4.3,,4.3,,22:52,,,,
4,2000-01,NYI,23,82,157,-27,1,0,1,0,5,0,2,2.4,,2.4,,22:20,,,,
5,2001-02,OTT,24,75,156,30,5,4,1,2,10,1,2,9.5,,9.5,,22:16,,,,
6,2002-03,OTT,25,74,116,29,6,3,0,2,14,14,2,5.4,,5.4,,24:57,,,,
7,2003-04,OTT,26,79,147,33,9,7,0,3,15,7,3,8.6,,8.6,,24:38,,,,
8,2005-06,OTT,28,71,135,17,5,10,1,3,13,12,2,7.5,,7.5,,27:11,,,,
9,2006-07,BOS,29,80,100,-21,2,9,0,3,14,17,1,5.4,,5.4,,27:58,,,,
10,2007-08,BOS,30,77,114,14,7,9,1,0,17,16,1,8.2,389,8.2,389,26:50,222,78,30,50
11,2008-09,BOS,31,80,95,23,8,11,0,3,12,17,2,8.8,427,8.8,427,26:04,166,121,28,54
12,2009-10,BOS,32,80,87,19,3,4,0,1,24,12,1,2.9,440,2.9,440,25:22,149,102,27,65
13,2010-11,BOS,33,81,88,<str,5,8,1,2,22,7,1,5.3,490,5.3,490,25:26,153,111,32,62
14,2011-12,BOS,34,79,86,33,4,8,0,0,29,10,1,5.4,437,5.4,437,25:00,166,87,28,68
15,2012-13,BOS,35,48,70,14,4,3,0,2,10,1,1,5.9,248,5.9,248,24:56,101,64,12,34
16,2013-14,BOS,36,77,66,25,7,10,0,3,17,5,1,10.1,341,10.1,341,24:39,163,104,20,62
17,2014-15,BOS,37,63,42,0,4,4,0,0,8,1,3,5.8,254,5.8,254,23:21,125,99,14,55
18,2015-16,BOS,38,80,71,12,8,1,0,3,17,9,2,5.7,312,5.7,312,24:06,134,123,23,87
19,2016-17,BOS,39,19,19,12,1,0,0,0,4,1,0,3.7,61,3.7,61,22:41,30,41,11,17
