,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,EDM,19,38,6,-5,1,0,0,0,4,0,0,3.7,,3.7,,</td>,,,,
2,1998-99,EDM,20,61,23,2,5,0,1,4,8,0,0,15.4,,15.4,,10:09,,,,
3,1999-00,EDM,21,76,20,7,7,0,1,2,19,0,0,7.4,,7.4,,12:36,,,,
4,2000-01,DET,22,55,14,1,5,0,0,0,6,0,0,7.6,,7.6,,10:08,,,,
5,2001-02,DET,23,79,24,9,9,0,0,2,16,0,0,7.8,,7.8,,11:30,,,,
6,2002-03,DET,24,61,16,4,3,0,0,1,9,0,0,4.2,,4.2,,9:26,,,,
7,2003-04,DET,25,61,20,-1,6,0,0,2,8,1,0,9.7,,9.7,,9:58,,,,
8,2005-06,PHX,27,78,44,-13,7,1,0,1,12,2,0,10.5,,10.5,,12:47,,,,
9,2006-07,TOR,28,33,12,4,8,0,0,0,10,1,0,14.0,,14.0,,15:17,,,,
10,2007-08,TOR,29,62,24,-6,6,0,1,1,11,0,0,8.6,142,8.6,142,13:58,47,20,23,28
11,2008-09,TOR,30,23,2,3,3,0,3,0,5,0,0,14.6,60,14.6,60,13:42,21,18,8,6
