,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,LAK,21,27,8,-5,0,1,0,0,3,0,0,2.9,,2.9,,11:44,,,,
2,1999-00,NYI,22,49,41,-7,10,2,0,3,9,5,0,11.0,,11.0,,13:36,,,,
3,2001-02,EDM,24,61,52,9,9,1,0,1,5,0,0,12.8,,12.8,,10:05,,,,
4,2002-03,TOT,25,45,21,-3,1,0,0,0,4,0,0,2.3,,2.3,,9:12,,,,
5,2002-03,EDM,25,20,12,-3,0,0,0,0,2,0,0,0.0,,0.0,,10:22,,,,
6,2002-03,NYR,25,4,2,-1,0,0,0,0,0,0,0,0.0,,0.0,,9:07,,,,
7,2002-03,WSH,25,21,7,1,1,0,0,0,2,0,0,5.0,,5.0,,8:07,,,,
8,2003-04,TOT,26,50,32,-3,5,0,0,1,6,0,0,6.6,,6.6,,12:08,,,,
9,2003-04,CGY,26,36,24,-3,2,0,0,0,4,0,0,4.3,,4.3,,11:18,,,,
10,2003-04,NYR,26,14,8,0,3,0,0,1,2,0,0,10.3,,10.3,,14:16,,,,
11,2005-06,VAN,28,33,14,2,4,0,0,0,2,0,0,11.4,,11.4,,8:35,,,,
12,2006-07,VAN,29,57,25,0,2,0,0,2,4,0,1,2.7,,2.7,,11:25,,,,
13,2010-11,ANA,33,12,6,-3,0,0,0,0,0,0,0,0.0,20,0.0,20,10:01,11,1,3,0
14,2011-12,EDM,34,7,7,-6,0,1,0,0,1,0,0,7.1,22,7.1,22,11:49,4,2,3,1
