,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,EDM,21,3,0,1,0,0,0,0,0,0,0,</td,,</td,,6:30,,,,
2,1999-00,EDM,22,5,10,0,0,0,0,0,0,0,0,0.0,,0.0,,7:02,,,,
3,2000-01,TOT,23,48,43,-2,2,0,0,1,4,0,0,8.7,,8.7,,6:50,,,,
4,2000-01,EDM,23,37,29,-2,2,0,0,1,4,0,0,9.1,,9.1,,7:06,,,,
5,2000-01,PIT,23,11,14,0,0,0,0,0,0,0,0,0.0,,0.0,,5:57,,,,
6,2001-02,PIT,24,82,71,-19,5,0,1,0,10,1,0,7.8,,7.8,,13:16,,,,
7,2002-03,TOT,25,68,72,-4,3,0,0,0,6,0,0,6.4,,6.4,,9:36,,,,
8,2002-03,PIT,25,44,72,-8,2,0,0,0,2,0,0,6.7,,6.7,,9:13,,,,
9,2002-03,NYR,25,24,0,4,1,0,0,0,4,0,0,5.9,,5.9,,10:18,,,,
10,2003-04,NYR,26,59,82,-13,4,1,0,1,2,0,0,12.8,,12.8,,9:29,,,,
11,2005-06,BOS,28,55,53,-6,1,0,1,0,2,0,0,5.4,,5.4,,6:15,,,,
12,2006-07,NJD,29,6,7,0,0,0,0,0,0,0,0,</td,,</td,,4:57,,,,
13,2008-09,CAR,31,11,10,-1,2,0,0,1,0,0,0,50.0,5,50.0,5,4:16,9,3,1,1
