,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,PHX,21,14,2,1,2,0,0,0,2,0,0,25.0,,25.0,,6:01,,,,
2,1999-00,PHX,22,82,20,2,12,3,4,3,16,1,3,15.2,,15.2,,16:03,,,,
3,2000-01,PHX,23,77,32,-2,6,0,1,3,13,1,1,6.4,,6.4,,16:20,,,,
4,2001-02,TOT,24,75,19,4,8,1,0,0,14,1,1,8.3,,8.3,,13:31,,,,
5,2001-02,PHX,24,33,4,2,2,0,0,0,6,0,0,4.7,,4.7,,14:27,,,,
6,2001-02,VAN,24,42,15,2,6,1,0,0,8,1,1,10.8,,10.8,,12:47,,,,
7,2002-03,VAN,25,78,36,8,9,1,1,2,10,2,2,8.1,,8.1,,12:26,,,,
8,2003-04,CBJ,26,73,16,-12,11,4,0,1,15,2,0,11.9,,11.9,,16:19,,,,
9,2005-06,CBJ,28,81,36,-2,8,1,1,1,14,1,3,7.4,,7.4,,16:32,,,,
10,2006-07,CAR,29,61,18,-8,2,0,0,0,4,1,1,2.9,,2.9,,9:41,,,,
11,2007-08,CAR,30,75,30,-10,8,0,1,1,8,1,0,13.4,112,13.4,112,10:16,26,37,13,8
