,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,TOT,23,76,20,-14,2,1,1,1,5,0,0,6.8,,6.8,,14:15,,,,
2,2000-01,BOS,23,17,6,-5,1,0,0,0,1,0,0,7.7,,7.7,,14:19,,,,
3,2000-01,MDA,23,59,14,-9,1,1,1,1,4,0,0,6.5,,6.5,,14:14,,,,
4,2001-02,MDA,24,80,26,-16,4,1,1,0,12,2,0,6.1,,6.1,,16:24,,,,
5,2002-03,MDA,25,34,18,10,3,0,1,2,10,0,1,14.3,,14.3,,13:20,,,,
6,2003-04,MDA,26,82,52,-2,7,1,0,2,12,0,2,6.0,,6.0,,16:51,,,,
7,2005-06,MDA,28,82,34,-1,8,0,3,1,8,1,1,9.5,,9.5,,16:30,,,,
8,2006-07,ANA,29,82,42,-4,8,0,0,1,18,0,0,7.2,,7.2,,17:22,,,,
9,2007-08,ANA,30,56,34,-2,3,0,3,3,8,1,0,6.4,152,6.4,152,18:46,114,24,33,22
10,2008-09,TOT,31,65,34,-17,6,1,0,2,9,2,0,8.0,139,8.0,139,18:17,121,21,25,26
11,2008-09,ANA,31,52,32,-16,4,1,0,1,8,2,0,6.8,119,6.8,119,18:31,91,15,19,23
12,2008-09,CHI,31,13,2,-1,2,0,0,1,1,0,0,14.3,20,14.3,20,17:25,30,6,6,3
13,2009-10,CBJ,32,79,32,-9,3,0,0,0,10,1,2,3.2,160,3.2,160,16:17,151,35,28,13
14,2010-11,CBJ,33,82,30,-13,6,0,1,1,13,0,0,6.5,181,6.5,181,15:20,162,49,28,8
15,2011-12,TOT,34,80,34,-2,3,0,1,1,12,0,1,4.3,172,4.3,172,14:46,123,37,44,14
16,2011-12,CBJ,34,61,22,-6,1,0,1,0,9,0,0,3.2,126,3.2,126,15:02,98,33,34,8
17,2011-12,VAN,34,19,12,4,2,0,0,1,3,0,1,6.7,46,6.7,46,13:56,25,4,10,6
