,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,FLA,21,73,25,-6,19,5,0,5,9,4,0,18.6,,18.6,,13:59,,,,
2,1999-00,FLA,22,81,39,1,20,6,0,3,15,3,0,17.1,,17.1,,14:04,,,,
3,2000-01,NYI,23,70,28,-27,11,6,0,3,9,4,0,13.8,,13.8,,15:27,,,,
4,2001-02,NYI,24,78,32,10,20,9,1,6,18,9,3,18.5,,18.5,,16:48,,,,
5,2002-03,NYI,25,81,28,-11,14,9,0,5,13,12,0,15.6,,15.6,,16:12,,,,
6,2003-04,NYI,26,59,18,8,18,6,0,6,10,1,0,<str,,<str,,17:20,,,,
7,2005-06,TOT,28,76,20,-23,13,16,0,5,6,14,0,21.2,,21.2,,18:33,,,,
8,2005-06,NYI,28,57,16,-14,11,13,0,5,6,11,0,23.5,,23.5,,19:34,,,,
9,2005-06,LAK,28,19,4,-9,2,3,0,0,0,3,0,14.3,,14.3,,15:29,,,,
10,2006-07,MIN,29,76,18,9,14,5,0,4,14,6,0,13.5,,13.5,,14:20,,,,
11,2007-08,MIN,30,66,16,2,9,7,0,0,9,5,0,16.8,155,16.8,155,14:56,32,43,13,17
12,2008-09,DAL,31,44,18,-3,4,4,0,3,4,1,0,17.4,93,17.4,93,11:16,30,21,9,10
13,2009-10,TBL,32,16,4,-5,0,0,0,0,2,0,0,0.0,25,0.0,25,15:10,11,13,1,7
14,2010-11,BUF,33,2,0,-2,0,0,0,0,0,0,0,</td,2,</td,2,11:47,2,2,0,1
