,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,PIT,21,75,48,11,3,1,0,1,17,0,0,5.5,,5.5,,19:01,,,,
2,2000-01,PIT,22,30,26,3,1,0,0,0,3,1,0,5.9,,5.9,,17:06,,,,
3,2001-02,PIT,23,79,47,-6,5,4,0,4,13,7,0,10.1,,10.1,,20:01,,,,
4,2002-03,PIT,24,53,40,-5,3,1,0,0,3,3,0,6.6,,6.6,,20:25,,,,
5,2005-06,NYR,27,82,90,<str,2,3,0,3,16,8,1,4.3,,4.3,,22:27,,,,
6,2006-07,NYR,28,80,52,10,3,7,0,3,15,13,2,9.6,,9.6,,23:46,,,,
7,2007-08,NYR,29,80,80,0,5,6,2,0,13,12,0,10.2,269,10.2,269,24:33,93,129,58,55
8,2008-09,NYR,30,76,52,-7,5,3,0,2,9,11,2,6.7,277,6.7,277,22:31,90,113,37,32
9,2009-10,NYR,31,82,78,3,2,1,0,1,16,3,1,3.8,179,3.8,179,21:26,136,130,34,28
10,2010-11,TOT,32,65,42,6,4,2,0,3,9,6,0,10.9,136,10.9,136,21:00,100,108,24,24
11,2010-11,NYR,32,32,22,3,3,0,0,1,6,6,0,12.5,79,12.5,79,22:03,45,47,16,13
12,2010-11,PHX,32,33,20,3,1,2,0,2,3,0,0,9.7,57,9.7,57,19:59,55,61,8,11
13,2011-12,PHX,33,54,34,8,1,0,0,0,12,0,0,2.0,109,2.0,109,19:20,62,91,13,16
14,2012-13,CHI,34,27,14,18,0,0,0,0,11,0,1,0.0,43,0.0,43,18:07,44,28,10,13
15,2013-14,CHI,35,42,32,7,1,0,0,0,7,0,0,2.6,75,2.6,75,16:39,67,43,15,24
16,2014-15,CHI,36,65,22,0,1,0,0,0,12,0,0,1.8,136,1.8,136,17:01,103,87,17,36
17,2015-16,CHI,37,51,33,3,1,0,0,0,9,2,1,2.4,90,2.4,90,16:10,81,63,6,24
18,2016-17,CHI,38,8,4,1,0,0,0,0,1,0,0,0.0,10,0.0,10,15:13,19,12,0,2
