,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1996-97,MDA,22,30,37,-8,0,0,0,0,1,0,0,0.0,,0.0,,</td>,,,,
2,1997-98,MDA,23,66,70,7,4,1,0,0,6,4,0,4.8,,4.8,,</td>,,,,
3,1998-99,MDA,24,74,65,1,1,1,0,0,6,8,0,1.6,,1.6,,22:03,,,,
4,1999-00,MDA,25,71,94,3,4,1,0,0,3,2,0,4.3,,4.3,,20:21,,,,
5,2000-01,MDA,26,50,70,-14,1,0,0,0,5,0,0,1.4,,1.4,,20:40,,,,
6,2001-02,MDA,27,82,97,-10,4,0,0,1,6,1,0,4.2,,4.2,,21:25,,,,
7,2002-03,MDA,28,61,78,2,4,0,0,0,8,0,0,4.3,,4.3,,21:53,,,,
8,2003-04,MDA,29,82,110,-1,3,0,1,2,11,0,0,2.8,,2.8,,23:42,,,,
9,2005-06,MDA,31,78,114,17,1,0,0,0,11,6,1,0.9,,0.9,,22:31,,,,
10,2006-07,FLA,32,82,102,-13,4,2,0,0,8,18,0,4.1,,4.1,,23:20,,,,
11,2007-08,TOT,33,82,98,-4,5,1,0,1,16,7,1,5.4,250,5.4,250,22:27,162,135,13,35
12,2007-08,FLA,33,65,75,-5,2,1,0,0,12,7,1,3.7,198,3.7,198,23:17,122,114,10,30
13,2007-08,COL,33,17,23,1,3,0,0,1,4,0,0,10.0,52,10.0,52,19:17,40,21,3,5
14,2008-09,COL,34,70,72,-4,3,1,0,0,11,6,0,4.3,242,4.3,242,21:06,107,143,18,36
15,2009-10,COL,35,14,10,-1,1,0,0,0,5,0,0,4.5,38,4.5,38,18:46,21,20,1,7
16,2010-11,DET,36,75,48,0,2,0,0,0,8,0,0,2.7,161,2.7,161,17:58,117,109,19,35
