,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,OTT,24,61,24,20,5,2,0,1,6,6,0,6.6,,6.6,,19:42,,,,
2,1999-00,OTT,25,37,2,6,3,3,0,1,6,2,0,7.1,,7.1,,20:18,,,,
3,2000-01,OTT,26,31,10,9,1,1,0,0,5,11,0,3.3,,3.3,,19:44,,,,
4,2001-02,OTT,27,66,14,1,2,1,1,2,9,5,0,3.3,,3.3,,19:52,,,,
5,2002-03,VAN,28,79,10,9,5,4,0,1,12,5,4,7.1,,7.1,,20:08,,,,
6,2003-04,VAN,29,74,22,8,2,5,0,2,8,10,1,4.9,,4.9,,22:14,,,,
7,2005-06,VAN,31,59,38,9,1,9,0,2,11,11,1,7.1,,7.1,,24:30,,,,
8,2006-07,VAN,32,67,26,21,9,5,0,6,10,13,0,9.8,,9.8,,21:27,,,,
9,2007-08,VAN,33,63,38,8,2,6,0,1,5,11,1,6.6,278,6.6,278,23:39,36,79,18,46
10,2008-09,VAN,34,60,26,5,0,5,0,2,11,9,0,4.5,245,4.5,245,20:11,44,65,22,29
11,2009-10,VAN,35,68,18,14,3,6,0,3,10,7,2,7.6,250,7.6,250,20:41,43,60,16,29
12,2010-11,VAN,36,27,14,-3,2,1,0,0,2,2,0,7.7,81,7.7,81,20:21,6,28,3,18
13,2011-12,VAN,37,69,10,7,2,7,0,3,9,7,0,6.6,282,6.6,282,20:27,29,77,23,35
14,2012-13,TBL,38,46,16,5,1,1,0,0,9,6,0,4.2,99,4.2,99,20:59,40,65,13,16
15,2013-14,TBL,39,71,18,11,4,0,0,0,7,6,0,4.9,179,4.9,179,18:11,57,66,17,20
