,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,BUF,20,4,0,3,0,0,0,0,0,0,0,0.0,,0.0,,13:11,,,,
2,1999-00,TOT,21,59,77,-6,0,0,0,0,4,1,1,0.0,,0.0,,18:34,,,,
3,1999-00,BUF,21,42,35,2,0,0,0,0,3,1,0,0.0,,0.0,,17:42,,,,
4,1999-00,TBL,21,17,42,-8,0,0,0,0,1,0,1,0.0,,0.0,,20:42,,,,
5,2000-01,TBL,22,73,106,-25,1,0,0,1,7,0,1,1.5,,1.5,,18:44,,,,
6,2001-02,TBL,23,72,105,-4,0,0,0,0,10,0,1,0.0,,0.0,,16:06,,,,
7,2002-03,TBL,24,82,63,-3,5,0,0,2,7,0,2,6.3,,6.3,,19:36,,,,
8,2003-04,TBL,25,82,89,5,2,0,1,1,15,0,1,3.2,,3.2,,18:31,,,,
9,2005-06,TBL,27,82,79,-2,1,0,0,0,12,1,1,1.1,,1.1,,18:34,,,,
10,2006-07,TBL,28,82,70,-6,0,0,0,0,14,0,1,0.0,,0.0,,18:07,,,,
11,2007-08,CGY,29,80,135,2,2,0,0,0,3,0,2,3.5,135,3.5,135,18:49,157,64,27,44
12,2008-09,CGY,30,76,112,12,2,0,0,0,15,1,2,3.5,160,3.5,160,17:53,132,70,13,46
13,2009-10,CGY,31,57,58,4,1,0,0,1,4,1,0,2.2,98,2.2,98,15:57,115,57,5,36
14,2010-11,CGY,32,76,75,11,4,0,0,1,13,0,0,5.3,162,5.3,162,17:53,175,109,15,51
15,2011-12,CGY,33,62,66,1,1,0,0,0,6,0,0,2.8,107,2.8,107,16:07,144,60,9,33
16,2012-13,CGY,34,28,16,-8,0,0,0,0,2,0,0,0.0,38,0.0,38,14:52,43,33,6,13
17,2013-14,COL,35,54,38,7,1,0,0,0,9,0,0,2.1,111,2.1,111,17:05,107,66,14,19
