,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1996-97,PHI,18,68,22,3,7,1,0,2,11,2,0,11.3,,11.3,,</td>,,,,
2,1997-98,PHI,19,69,42,29,7,1,0,5,22,3,0,7.9,,7.9,,</td>,,,,
3,1998-99,TOT,20,80,29,-8,5,0,1,1,9,1,0,7.5,,7.5,,12:15,,,,
4,1998-99,PHI,20,63,25,-5,2,0,1,0,5,0,0,6.1,,6.1,,11:00,,,,
5,1998-99,MTL,20,17,4,-3,3,0,0,1,4,1,0,9.7,,9.7,,16:53,,,,
6,1999-00,MTL,21,73,54,-1,11,3,0,1,22,6,0,10.1,,10.1,,17:37,,,,
7,2000-01,TOT,22,61,37,-11,9,4,0,0,9,4,0,15.7,,15.7,,17:26,,,,
8,2000-01,MTL,22,49,30,-7,9,3,0,0,8,4,0,17.1,,17.1,,18:30,,,,
9,2000-01,WSH,22,12,7,-4,0,1,0,0,1,0,0,7.7,,7.7,,13:05,,,,
10,2001-02,WSH,23,71,38,5,13,4,0,3,19,7,0,12.3,,12.3,,18:52,,,,
11,2002-03,WSH,24,63,43,15,11,2,0,0,20,2,0,12.5,,12.5,,16:26,,,,
12,2003-04,WSH,25,54,38,-16,5,6,1,2,8,7,0,10.4,,10.4,,19:32,,,,
13,2005-06,WSH,27,71,84,3,10,13,0,5,19,13,2,12.7,,12.7,,20:22,,,,
14,2006-07,TOT,28,79,62,-19,14,10,0,4,23,13,0,15.2,,15.2,,19:29,,,,
15,2006-07,WSH,28,60,50,-16,11,9,0,4,20,12,0,15.7,,15.7,,19:51,,,,
16,2006-07,BUF,28,19,12,-3,3,1,0,0,3,1,0,12.9,,12.9,,18:22,,,,
17,2007-08,NJD,29,82,38,2,9,4,0,2,21,4,0,10.2,237,10.2,237,15:42,77,17,35,21
18,2008-09,NJD,30,82,69,6,14,1,0,3,15,10,0,11.5,207,11.5,207,15:16,98,16,19,25
19,2009-10,NJD,31,51,28,4,9,1,0,4,14,2,1,11.6,131,11.6,131,16:29,61,24,18,21
20,2010-11,NJD,32,79,53,-11,12,1,0,2,14,2,1,11.3,190,11.3,190,17:09,107,32,33,30
21,2011-12,NJD,33,82,34,7,10,4,3,2,23,2,2,15.6,171,15.6,171,18:41,102,41,34,23
22,2012-13,NJD,34,22,12,-3,2,0,0,0,5,0,2,9.1,39,9.1,39,16:47,31,9,6,6
23,2013-14,NJD,35,82,46,1,13,0,0,1,13,0,0,10.7,188,10.7,188,17:33,107,39,19,20
24,2014-15,NJD,36,74,42,-9,4,0,0,1,4,1,1,5.6,106,5.6,106,14:40,97,40,19,19
25,2015-16,SJS,37,50,20,4,3,0,0,0,4,0,0,9.1,66,9.1,66,11:35,68,15,15,15
