,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,TOT,28,1369,1232,52.6,2.7,1064,962,52.5,0.1,9.8,89.7,99.6,57.2,42.8
2,2007-08,BUF,28,1032,987,51.1,3.4,789,766,50.7,0.7,10.2,88.9,99.2,56.0,44.0
3,2007-08,SJS,28,337,245,57.9,0.9,275,196,58.4,-1.7,8.8,93.1,101.,60.9,39.1
4,2008-09,CHI,29,1378,1047,56.8,1.7,1067,852,55.6,-0.1,8.4,91.2,99.6,61.9,38.1
5,2009-10,CHI,30,1326,912,59.2,0.4,1006,664,60.2,-0.4,8.4,90.1,98.5,58.7,41.3
6,2010-11,CHI,31,1208,991,54.9,0.1,917,739,55.4,0.2,9.0,93.8,102.,60.0,40.0
7,2011-12,FLA,32,1628,1521,51.7,2.3,1241,1149,51.9,2.1,5.9,92.9,98.8,55.1,44.9
8,2012-13,FLA,33,903,843,51.7,3.2,680,650,51.1,3.4,5.9,89.1,94.9,61.1,38.9
9,2013-14,FLA,34,1573,1418,52.6,1.5,1208,1106,52.2,0.5,7.6,91.2,98.8,50.1,49.9
10,2014-15,FLA,35,1468,1221,54.6,5.2,1107,948,53.9,4.5,7.1,92.3,99.4,61.4,38.6
11,2015-16,FLA,36,1265,1137,52.7,5.7,998,896,52.7,5.4,10.3,93.4,103.,50.9,49.1
12,2016-17,CHI,37,358,355,50.2,-0.9,263,283,48.2,-1.2,9.7,93.5,103.,57.5,42.5
