,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,BUF,20,65,41,-4,14,2,0,2,12,6,0,12.5,,12.5,,13:09,,,,
2,2000-01,BUF,21,78,40,1,11,3,0,5,15,7,0,7.4,,7.4,,14:32,,,,
3,2001-02,BUF,22,81,69,-9,17,3,1,0,14,5,0,9.0,,9.0,,15:22,,,,
4,2002-03,BUF,23,35,21,-12,3,2,0,2,6,0,0,6.5,,6.5,,13:24,,,,
5,2003-04,BUF,24,73,57,-4,14,3,0,4,11,3,0,11.5,,11.5,,13:46,,,,
6,2005-06,BUF,26,77,84,6,11,11,0,3,31,20,0,9.1,,9.1,,16:20,,,,
7,2006-07,BUF,27,56,66,19,16,7,0,3,25,13,0,15.2,,15.2,,17:03,,,,
8,2007-08,BUF,28,56,42,-16,9,1,0,1,13,5,0,8.8,216,8.8,216,16:03,25,6,17,42
9,2008-09,BUF,29,48,20,-7,6,0,0,0,7,7,0,6.5,172,6.5,172,12:36,20,11,15,36
10,2009-10,ATL,30,82,46,-17,18,6,0,3,25,12,0,13.3,321,13.3,321,17:24,32,21,65,63
