,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,CHI,21,8,2,-3,1,0,0,0,1,0,0,20.0,,20.0,,9:59,,,,
2,2000-01,CHI,22,43,14,-4,5,0,0,1,9,1,0,7.9,,7.9,,12:43,,,,
3,2001-02,CHI,23,81,47,8,11,6,0,3,28,8,0,12.8,,12.8,,16:33,,,,
4,2002-03,CHI,24,82,40,-6,8,7,0,2,24,3,0,9.1,,9.1,,16:43,,,,
5,2003-04,CHI,25,66,29,-18,11,10,0,1,14,4,0,14.6,,14.6,,17:08,,,,
6,2005-06,CHI,27,79,52,-4,18,6,2,6,26,7,0,14.2,,14.2,,18:23,,,,
7,2006-07,TOT,28,78,58,-25,9,3,2,2,14,7,0,10.8,,10.8,,15:32,,,,
8,2006-07,PHI,28,59,36,-31,5,2,2,0,8,4,0,10.2,,10.2,,15:02,,,,
9,2006-07,DET,28,19,22,6,4,1,0,2,6,3,0,11.9,,11.9,,17:05,,,,
10,2007-08,LAK,29,65,18,-11,4,3,0,0,10,3,0,10.0,119,10.0,119,12:00,26,13,11,38
11,2008-09,LAK,30,74,41,-1,6,2,0,1,17,2,0,8.6,161,8.6,161,13:10,55,7,24,33
12,2009-10,ANA,31,14,8,-7,0,0,0,0,1,1,0,0.0,30,0.0,30,14:07,17,4,2,3
