,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,EDM,21,1,0,0,0,0,0,0,0,0,0,</td,,</td,,6:58,,,,
2,2001-02,EDM,22,3,0,-3,1,0,0,0,0,0,0,33.3,,33.3,,12:44,,,,
3,2002-03,EDM,23,66,36,-2,13,0,1,4,8,1,0,15.6,,15.6,,10:46,,,,
4,2003-04,EDM,24,60,57,-1,4,0,0,1,7,1,0,5.1,,5.1,,10:07,,,,
5,2005-06,CBJ,26,80,95,-10,15,1,1,5,13,0,0,13.4,,13.4,,12:41,,,,
6,2006-07,CBJ,27,82,91,2,11,2,2,2,19,2,0,9.9,,9.9,,15:22,,,,
7,2007-08,CBJ,28,81,98,-5,12,1,1,3,13,4,0,7.1,306,7.1,306,17:30,73,15,19,22
8,2008-09,CBJ,29,49,41,8,7,1,0,1,13,1,0,7.0,190,7.0,190,16:15,61,11,15,19
9,2009-10,TOT,30,78,98,-1,14,1,0,1,19,0,0,9.4,235,9.4,235,13:42,78,16,16,24
10,2009-10,CBJ,30,39,47,-7,7,1,0,1,9,0,0,8.7,122,8.7,122,14:47,28,6,6,14
11,2009-10,WSH,30,39,51,6,7,0,0,0,10,0,0,10.3,113,10.3,113,12:36,50,10,10,10
12,2010-11,WSH,31,81,64,-10,8,2,0,1,15,1,0,6.2,256,6.2,256,13:15,97,16,26,26
13,2011-12,WSH,32,82,78,4,17,1,2,5,19,0,0,9.8,296,9.8,296,14:26,132,27,23,26
14,2012-13,WSH,33,47,48,-5,3,0,0,0,11,0,0,3.3,139,3.3,139,12:40,73,12,10,20
15,2013-14,WSH,34,82,36,4,14,1,0,0,22,4,1,9.0,254,9.0,254,15:25,140,30,25,30
16,2014-15,WSH,35,77,51,-1,7,0,0,2,12,0,0,7.3,179,7.3,179,12:56,132,18,27,15
17,2015-16,WSH,36,82,22,0,14,4,2,3,15,5,0,12.1,253,12.1,253,14:03,103,13,15,32
18,2016-17,NYI,37,22,16,-7,2,0,0,0,5,0,0,6.9,43,6.9,43,13:35,40,13,3,5
