,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,CHI,19,6,0,-2,0,0,0,0,0,0,0,0.0,,0.0,,</td>,,,,
2,1998-99,CHI,20,35,24,-1,4,0,0,0,5,0,0,8.2,,8.2,,14:21,,,,
3,1999-00,EDM,21,17,8,-1,3,0,0,1,1,1,0,16.7,,16.7,,9:44,,,,
4,2000-01,EDM,22,81,37,5,12,2,0,2,14,7,0,13.1,,13.1,,12:58,,,,
5,2001-02,EDM,23,65,51,-1,7,2,1,1,14,5,0,13.3,,13.3,,12:43,,,,
6,2002-03,EDM,24,57,31,5,4,0,0,1,13,0,0,4.5,,4.5,,11:58,,,,
7,2003-04,PHX,25,68,42,-8,3,0,3,0,10,1,0,7.2,,7.2,,13:12,,,,
8,2005-06,DET,27,77,40,5,3,0,0,1,10,0,2,2.8,,2.8,,10:30,,,,
9,2006-07,DET,28,71,24,6,12,6,2,5,17,2,1,14.8,,14.8,,15:28,,,,
10,2007-08,DET,29,63,33,21,15,5,0,3,14,7,1,11.3,276,11.3,276,17:23,82,14,25,25
11,2008-09,DET,30,74,46,0,11,3,0,3,23,3,0,8.6,255,8.6,255,16:56,107,36,16,22
12,2009-10,DET,31,64,29,-3,13,2,0,2,14,5,0,10.7,224,10.7,224,17:14,119,25,20,26
13,2010-11,DET,32,68,20,-1,21,5,0,8,17,3,0,13.5,312,13.5,312,16:38,112,25,18,16
14,2011-12,DET,33,75,30,2,10,2,0,0,20,1,0,6.0,308,6.0,308,15:59,90,33,27,27
15,2012-13,DET,34,48,40,-6,3,5,1,0,6,0,0,9.7,133,9.7,133,16:27,56,21,11,19
16,2013-14,DET,35,52,31,-11,4,0,0,1,3,0,1,6.3,99,6.3,99,13:54,51,17,12,6
17,2014-15,DET,36,17,6,-4,1,0,0,0,1,0,0,5.9,28,5.9,28,9:08,21,9,2,1
