,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,SJS,20,5,6,0,0,0,0,0,1,1,0,0.0,,0.0,,7:15,,,,
2,1999-00,SJS,21,30,10,7,1,0,0,0,2,0,0,3.6,,3.6,,17:09,,,,
3,2000-01,SJS,22,75,51,10,3,0,0,1,11,2,1,3.1,,3.1,,19:02,,,,
4,2001-02,SJS,23,75,57,10,2,0,0,1,10,1,1,2.9,,2.9,,20:19,,,,
5,2002-03,SJS,24,81,61,0,2,1,0,0,14,4,1,2.9,,2.9,,24:16,,,,
6,2003-04,SJS,25,82,48,10,6,0,0,0,13,2,0,5.3,,5.3,,23:41,,,,
7,2005-06,SJS,27,81,58,7,4,2,0,1,9,8,1,5.8,,5.8,,24:34,,,,
8,2006-07,SJS,28,79,38,1,3,0,1,1,15,5,0,5.1,,5.1,,22:49,,,,
9,2007-08,COL,29,82,55,-5,2,0,0,0,17,1,1,2.5,148,2.5,148,22:41,58,153,33,48
10,2008-09,COL,30,81,26,-21,1,0,0,0,9,0,0,1.4,143,1.4,143,22:22,56,162,28,36
11,2009-10,COL,31,81,40,2,2,0,0,0,13,0,1,3.8,123,3.8,123,21:56,67,144,29,37
12,2010-11,TOT,32,78,34,4,1,0,0,0,9,0,1,1.8,109,1.8,109,19:47,84,122,19,41
13,2010-11,COL,32,23,6,1,0,0,0,0,5,0,1,0.0,38,0.0,38,18:38,26,36,5,12
14,2010-11,WSH,32,55,28,3,1,0,0,0,4,0,0,2.9,71,2.9,71,20:16,58,86,14,29
15,2011-12,CGY,33,78,38,-10,2,0,0,0,9,0,1,4.1,103,4.1,103,20:21,60,126,13,39
16,2012-13,TOT,34,33,22,-14,0,0,0,0,1,0,0,0.0,53,0.0,53,19:21,35,54,9,10
17,2012-13,NSH,34,29,20,-11,0,0,0,0,1,0,0,0.0,43,0.0,43,19:30,29,47,9,9
18,2012-13,SJS,34,4,2,-3,0,0,0,0,0,0,0,0.0,10,0.0,10,18:17,6,7,0,1
19,2013-14,SJS,35,56,55,1,3,0,0,0,8,0,1,5.8,105,5.8,105,17:46,29,73,13,23
20,2014-15,SJS,36,58,26,0,2,0,0,0,5,0,0,3.8,96,3.8,96,16:19,32,69,8,16
