,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,FLA,23,79,14,-4,16,6,1,3,13,8,1,13.6,,13.6,,16:55,,,,
2,2002-03,FLA,24,78,20,-6,17,3,0,3,12,10,1,10.7,,10.7,,17:20,,,,
3,2003-04,FLA,25,76,24,-6,8,2,0,2,15,6,0,6.0,,6.0,,14:14,,,,
4,2005-06,TOT,27,78,40,-9,12,8,0,4,7,20,0,12.2,,12.2,,14:52,,,,
5,2005-06,FLA,27,24,4,-11,3,2,0,0,1,2,0,8.8,,8.8,,14:44,,,,
6,2005-06,CGY,27,54,36,2,9,6,0,4,6,18,0,14.0,,14.0,,14:55,,,,
7,2006-07,CGY,28,81,26,21,18,14,2,6,21,20,2,19.7,,19.7,,17:23,,,,
8,2007-08,CGY,29,81,40,10,19,6,0,5,22,19,0,12.4,318,12.4,318,17:42,9,11,53,58
9,2008-09,CBJ,30,74,44,1,16,5,0,2,26,9,0,9.9,349,9.9,349,19:31,21,16,49,35
10,2009-10,CBJ,31,74,36,-4,14,8,1,5,25,15,0,14.2,291,14.2,291,18:24,15,16,44,30
11,2010-11,CBJ,32,39,10,-17,8,6,0,1,7,2,0,14.9,176,14.9,176,16:23,4,4,19,11
12,2011-12,CBJ,33,2,2,-2,0,0,0,0,0,0,0,0.0,6,0.0,6,16:12,0,0,1,0
