,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,LAK,19,8,6,-5,0,0,0,0,0,0,0,0.0,,0.0,,</td>,,,,
2,1998-99,LAK,20,66,44,-10,5,3,1,1,9,3,0,10.3,,10.3,,14:42,,,,
3,1999-00,NYI,21,82,80,0,8,1,2,3,9,1,0,8.0,,8.0,,16:15,,,,
4,2000-01,FLA,22,78,106,-22,6,0,0,0,9,0,1,5.0,,5.0,,13:23,,,,
5,2001-02,FLA,23,80,98,-16,5,3,1,0,15,4,1,5.9,,5.9,,18:05,,,,
6,2002-03,FLA,24,81,79,-17,20,13,3,6,18,11,0,15.0,,15.0,,22:02,,,,
7,2003-04,FLA,25,82,81,-16,16,8,2,8,16,16,0,9.3,,9.3,,22:35,,,,
8,2005-06,FLA,27,82,88,14,23,14,1,9,28,23,0,10.8,,10.8,,20:29,,,,
9,2006-07,FLA,28,82,78,18,29,9,1,8,33,19,0,11.1,,11.1,,20:32,,,,
10,2007-08,FLA,29,82,67,-19,16,18,0,5,22,15,0,10.0,563,10.0,563,19:54,78,25,30,43
11,2008-09,TOT,30,76,67,-12,18,9,2,3,17,11,0,12.3,395,12.3,395,18:53,72,23,38,43
12,2008-09,PHX,30,57,49,-5,13,6,2,2,11,10,0,12.4,281,12.4,281,18:10,48,14,20,33
13,2008-09,CGY,30,19,18,-7,5,3,0,1,6,1,0,11.9,114,11.9,114,21:03,24,9,18,10
14,2009-10,TOT,31,82,75,3,12,3,0,3,23,12,0,6.4,429,6.4,429,17:52,110,38,39,63
15,2009-10,CGY,31,56,53,2,9,2,0,2,17,7,0,6.8,297,6.8,297,18:30,57,18,30,49
16,2009-10,NYR,31,26,22,1,3,1,0,1,6,5,0,5.4,132,5.4,132,16:29,53,20,9,14
17,2010-11,CGY,32,79,44,-17,12,5,0,1,23,14,0,8.2,368,8.2,368,17:47,56,35,54,45
18,2011-12,CGY,33,82,54,-12,14,9,0,5,23,15,0,10.3,346,10.3,346,18:58,53,31,55,60
19,2012-13,WPG,34,45,14,-19,7,0,0,0,6,1,0,8.2,176,8.2,176,17:08,91,27,14,17
20,2013-14,WPG,35,82,62,-8,16,2,0,1,19,6,0,10.5,293,10.5,293,17:01,120,45,20,30
21,2014-15,TOT,36,62,28,6,4,0,0,1,6,0,0,3.6,182,3.6,182,13:16,64,19,11,11
22,2014-15,NSH,36,48,26,2,3,0,0,0,3,0,0,3.6,131,3.6,131,13:31,52,14,5,8
23,2014-15,TOR,36,6,2,1,0,0,0,0,1,0,0,0.0,22,0.0,22,14:18,7,2,3,1
24,2014-15,STL,36,8,0,3,1,0,0,1,2,0,0,5.9,29,5.9,29,11:00,5,3,3,2
