,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,NYR,22,18,13,-6,0,0,0,0,1,2,0,0.0,,0.0,,15:18,,,,
2,2001-02,NYR,23,1,0,0,0,0,0,0,0,0,0,</td,,</td,,6:20,,,,
3,2002-03,CGY,24,4,0,-1,0,0,0,0,0,0,0,</td,,</td,,9:50,,,,
4,2007-08,NJD,29,76,48,-11,3,1,0,1,8,5,0,5.9,127,5.9,127,20:39,41,84,20,24
5,2008-09,NJD,30,80,35,24,1,0,0,0,12,1,1,1.4,156,1.4,156,17:47,41,81,14,40
6,2009-10,NJD,31,79,41,4,2,0,0,0,14,2,0,2.7,150,2.7,150,22:16,75,108,22,52
7,2010-11,NYI,32,20,8,-12,0,0,0,0,2,1,0,0.0,48,0.0,48,20:20,17,33,4,10
8,2011-12,TOT,33,35,15,-11,0,0,0,0,2,0,0,0.0,51,0.0,51,14:05,38,47,17,21
9,2011-12,NYI,33,29,15,-10,0,0,0,0,2,0,0,0.0,42,0.0,42,14:11,27,42,17,19
10,2011-12,BOS,33,6,0,-1,0,0,0,0,0,0,0,0.0,9,0.0,9,13:36,11,5,0,2
11,2013-14,FLA,35,8,4,-3,0,0,0,0,0,0,0,0.0,5,0.0,5,12:40,3,5,1,0
