,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,STL,20,11,2,2,1,1,0,0,3,1,0,13.3,,13.3,,12:19,,,,
2,2000-01,TOT,21,46,22,-2,6,2,0,2,7,2,0,12.5,,12.5,,12:00,,,,
3,2000-01,STL,21,40,20,-2,6,2,0,2,6,2,0,13.6,,13.6,,13:03,,,,
4,2000-01,PHX,21,6,2,0,0,0,0,0,1,0,0,0.0,,0.0,,12:38,,,,
5,2001-02,PHX,22,74,50,6,18,5,0,5,17,2,0,12.3,,12.3,,15:04,,,,
6,2002-03,PHX,23,80,92,17,14,8,0,6,27,8,0,10.5,,10.5,,17:28,,,,
7,2003-04,PHX,24,55,46,11,13,11,0,6,17,11,0,15.0,,15.0,,18:10,,,,
8,2005-06,PHX,26,51,74,8,7,7,1,4,18,22,1,11.4,,11.4,,18:53,,,,
9,2006-07,TOT,27,80,54,-5,8,4,0,1,23,20,0,8.2,,8.2,,17:20,,,,
10,2006-07,PHX,27,55,48,-2,6,2,0,0,18,15,0,7.1,,7.1,,17:52,,,,
11,2006-07,DAL,27,25,6,-3,2,2,0,1,5,5,0,12.1,,12.1,,16:08,,,,
12,2007-08,LAK,28,38,18,-2,7,2,0,1,7,10,0,11.5,135,11.5,135,13:48,28,11,7,13
