,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,CHI,25,13,31,-4,1,0,0,0,1,0,0,6.7,,6.7,,8:30,,,,
2,2003-04,CHI,26,8,23,2,1,0,0,0,0,0,0,7.1,,7.1,,11:14,,,,
3,2005-06,CHI,28,10,16,-5,0,0,0,0,0,0,0,0.0,,0.0,,7:18,,,,
4,2006-07,ANA,29,48,88,3,2,0,0,0,6,1,0,3.3,,3.3,,8:26,,,,
5,2007-08,BOS,30,58,74,-1,4,0,0,1,3,0,0,6.2,102,6.2,102,7:24,67,10,8,6
6,2008-09,BOS,31,79,123,-2,6,0,0,2,5,0,0,4.4,212,4.4,212,10:02,113,7,24,6
7,2009-10,BOS,32,74,141,-9,1,0,0,0,9,0,0,0.8,175,0.8,175,9:03,108,16,12,11
8,2010-11,BOS,33,79,122,8,10,0,0,2,10,0,0,6.6,238,6.6,238,10:05,141,18,23,6
9,2011-12,BOS,34,81,154,-7,4,0,1,0,8,0,0,4.4,187,4.4,187,9:11,91,12,19,6
10,2012-13,BOS,35,45,60,1,3,0,0,0,4,0,0,5.5,98,5.5,98,8:06,77,13,11,3
11,2013-14,BOS,36,64,74,3,5,0,0,1,3,0,0,5.4,150,5.4,150,8:48,111,19,13,10
12,2014-15,FLA,37,46,50,-13,1,0,0,0,4,0,0,1.9,85,1.9,85,9:35,93,5,10,5
13,2015-16,FLA,38,50,80,-2,1,0,0,0,4,0,0,1.7,88,1.7,88,8:41,73,2,9,4
14,2016-17,FLA,39,4,0,0,0,0,0,0,1,0,0,0.0,5,0.0,5,8:35,2,0,0,2
