,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NYR,28,1253,970,56.4,1.0,970,729,57.1,0.5,7.4,91.7,99.2,61.4,38.6
2,2008-09,NYR,29,1396,1061,56.8,5.6,1038,819,55.9,4.2,6.7,91.6,98.3,58.1,41.9
3,2009-10,MTL,30,1208,1173,50.7,1.3,873,877,49.9,-0.5,8.5,92.2,100.,55.0,45.0
4,2010-11,MTL,31,1308,1145,53.3,3.8,978,843,53.7,2.7,4.8,92.3,97.2,54.2,45.8
5,2011-12,MTL,32,458,411,52.7,2.0,317,288,52.4,3.2,6.5,90.6,97.1,62.6,37.4
6,2012-13,SJS,33,446,407,52.3,2.3,325,298,52.2,0.0,5.0,91.5,96.5,50.9,49.1
7,2013-14,FLA,34,444,472,48.5,-4.7,356,372,48.9,-5.7,6.1,90.2,96.3,46.5,53.5
8,2014-15,NJD,35,709,770,47.9,3.1,537,565,48.7,4.2,7.7,91.8,99.5,56.5,43.5
9,2015-16,TOT,36,286,343,45.5,-5.7,227,273,45.4,-6.6,4.7,92.7,97.3,64.8,35.2
10,2015-16,STL,36,179,185,49.2,-1.4,149,147,50.3,-1.0,4.4,91.7,96.1,73.3,26.7
11,2015-16,OTT,36,107,158,40.4,-11.,78,126,38.2,-14.,5.2,93.8,98.9,54.2,45.8
