,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,TOR,27,946,748,55.8,4.5,735,584,55.7,4.2,8.5,90.2,98.7,55.6,44.4
2,2008-09,TOR,28,1140,956,54.4,4.1,832,710,54.0,3.6,10.9,88.7,99.5,53.8,46.2
3,2009-10,TOT,29,1188,866,57.8,3.5,889,623,58.8,5.0,8.6,88.1,96.7,54.5,45.5
4,2009-10,TOR,29,986,740,57.1,3.8,729,521,58.3,5.6,9.4,88.5,97.9,52.1,47.9
5,2009-10,PIT,29,202,126,61.6,3.1,160,102,61.1,3.4,5.2,86.1,91.3,68.2,31.8
6,2010-11,LAK,30,588,548,51.8,-0.9,425,402,51.4,0.3,6.6,94.1,100.,51.7,48.3
7,2011-12,TOT,31,1000,852,54.0,3.5,745,629,54.2,4.0,6.8,91.8,98.5,47.1,52.9
8,2011-12,CAR,31,636,559,53.2,4.3,465,407,53.3,4.8,4.4,90.9,95.4,49.9,50.1
9,2011-12,NJD,31,364,293,55.4,1.8,280,222,55.8,2.5,10.4,93.2,103.,42.7,57.3
10,2012-13,TOT,32,465,344,57.5,2.1,345,258,57.2,1.9,6.8,92.3,99.1,56.9,43.1
11,2012-13,WPG,32,116,106,52.3,0.2,87,81,51.8,-2.1,5.5,91.9,97.4,48.6,51.4
12,2012-13,NJD,32,349,238,59.5,2.2,258,177,59.3,3.2,7.3,92.4,99.7,59.7,40.3
