,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,MTL,27,723,782,48.0,0.1,505,563,47.3,-0.8,8.7,91.9,100.,49.8,50.2
2,2008-09,BOS,28,840,753,52.7,2.6,630,566,52.7,2.8,12.6,93.8,106.,51.4,48.6
3,2009-10,BOS,29,1024,917,52.8,-2.5,748,700,51.7,-4.0,7.1,93.6,100.,51.5,48.5
4,2010-11,BOS,30,918,981,48.3,-4.2,668,732,47.7,-4.4,8.0,92.8,100.,51.0,49.0
5,2011-12,DAL,31,1152,1167,49.7,-1.2,850,865,49.6,-2.0,10.8,92.5,103.,52.0,48.0
6,2012-13,TOT,32,587,535,52.3,-0.6,423,397,51.6,-1.2,8.8,91.8,100.,56.8,43.2
7,2012-13,DAL,32,255,213,54.5,4.4,177,158,52.8,4.2,10.2,92.9,103.,56.9,43.1
8,2012-13,MTL,32,332,322,50.8,-3.7,246,239,50.7,-4.4,7.9,91.2,99.1,56.8,43.2
9,2013-14,NJD,33,925,783,54.2,-0.3,674,593,53.2,-1.2,7.3,91.1,98.4,51.8,48.2
10,2014-15,NJD,34,474,542,46.7,-1.2,345,424,44.9,-2.1,9.9,93.1,102.,43.6,56.4
