,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,TOT,28,971,1059,47.8,-1.7,749,837,47.2,-2.6,8.2,90.8,99.0,55.5,44.5
2,2007-08,LAK,28,840,955,46.8,-1.1,642,754,46.0,-2.1,7.5,90.5,98.0,54.3,45.7
3,2007-08,DET,28,131,104,55.7,-3.5,107,83,56.3,-3.5,12.0,93.3,105.,64.7,35.3
4,2008-09,DET,29,1074,954,53.0,-7.0,846,743,53.2,-4.8,8.4,89.2,97.6,53.6,46.4
5,2009-10,DET,30,1439,1352,51.6,-3.8,1103,1061,51.0,-3.2,6.1,92.4,98.5,54.1,45.9
6,2010-11,DET,31,1080,1095,49.7,-8.1,837,858,49.4,-7.1,9.5,91.6,101.,46.0,54.0
7,2011-12,DET,32,1266,1161,52.2,-4.5,958,880,52.1,-4.7,9.3,92.1,101.,53.7,46.3
8,2012-13,SJS,33,778,878,47.0,-4.9,580,618,48.4,-5.1,7.9,93.6,101.,46.7,53.3
9,2013-14,SJS,34,1028,988,51.0,-2.6,758,701,52.0,-2.9,7.4,92.7,100.,49.2,50.8
10,2014-15,COL,35,812,1275,38.9,-5.8,618,926,40.0,-5.9,8.5,93.4,101.,42.1,57.9
11,2015-16,COL,36,50,67,42.7,-1.5,38,42,47.5,0.2,3.3,90.9,94.2,37.5,62.5
