,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,NJD,20,82,78,14,12,7,0,1,31,20,0,9.3,,9.3,,16:21,,,,
2,2000-01,NJD,21,76,46,-1,12,2,0,4,34,15,0,9.0,,9.0,,15:46,,,,
3,2001-02,NJD,22,76,36,-4,9,1,0,1,25,13,0,6.4,,6.4,,16:46,,,,
4,2002-03,NJD,23,80,48,17,11,2,0,4,32,10,0,6.3,,6.3,,16:01,,,,
5,2003-04,NJD,24,80,70,18,11,3,0,1,43,13,0,7.4,,7.4,,16:00,,,,
6,2005-06,NJD,26,82,42,8,24,9,0,5,27,24,0,13.5,,13.5,,18:47,,,,
7,2006-07,NJD,27,72,42,7,9,4,0,1,28,19,0,5.2,,5.2,,18:56,,,,
8,2007-08,NYR,28,81,36,3,9,7,0,3,31,22,1,6.6,370,6.6,370,19:54,48,24,77,62
9,2008-09,NYR,29,77,60,-2,12,3,1,7,28,14,0,5.9,429,5.9,429,21:04,61,23,57,41
10,2009-10,MTL,30,78,60,1,7,5,0,1,33,14,0,6.7,297,6.7,297,19:56,30,34,52,60
11,2010-11,MTL,31,80,48,-15,4,3,0,2,16,14,1,4.5,276,4.5,276,18:34,32,24,56,28
12,2011-12,MTL,32,38,14,-9,0,2,0,1,8,1,0,3.4,116,3.4,116,14:08,11,12,14,14
13,2012-13,SJS,33,39,22,-10,2,0,0,0,5,8,0,3.4,100,3.4,100,13:32,4,11,20,21
14,2013-14,FLA,34,46,24,-11,2,0,0,0,8,2,0,3.6,88,3.6,88,13:08,16,16,20,15
15,2014-15,NJD,35,58,23,-10,7,0,0,1,13,14,0,10.0,109,10.0,109,16:31,24,15,22,37
16,2015-16,TOT,36,34,6,-7,1,0,0,1,4,4,0,5.0,32,5.0,32,11:20,3,10,6,13
17,2015-16,STL,36,21,4,-4,1,0,0,1,3,4,0,10.0,18,10.0,18,11:15,1,6,4,11
18,2015-16,OTT,36,13,2,-3,0,0,0,0,1,0,0,0.0,14,0.0,14,11:28,2,4,2,2
