,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,TBL,18,82,23,-19,11,2,0,2,10,4,1,10.4,,10.4,,13:40,,,,
2,1999-00,TBL,19,80,43,-25,19,6,0,3,20,22,0,15.1,,15.1,,19:18,,,,
3,2000-01,TBL,20,68,66,-26,16,7,0,3,18,10,0,13.9,,13.9,,19:57,,,,
4,2001-02,TBL,21,76,61,-18,15,5,0,3,8,9,0,12.2,,12.2,,17:09,,,,
5,2002-03,TBL,22,80,39,0,20,11,2,3,32,13,0,12.0,,12.0,,19:33,,,,
6,2003-04,TBL,23,81,52,24,25,5,2,6,25,9,0,13.2,,13.2,,18:04,,,,
7,2005-06,TBL,25,80,90,0,20,13,2,7,20,19,1,11.3,,11.3,,20:08,,,,
8,2006-07,TBL,26,82,44,2,31,16,5,7,32,20,4,15.3,,15.3,,22:36,,,,
9,2007-08,TBL,27,81,89,-17,29,10,1,7,30,19,3,12.6,529,12.6,529,22:57,108,21,51,65
10,2008-09,TBL,28,77,54,-9,18,10,1,6,23,14,1,10.0,481,10.0,481,20:15,110,29,51,55
11,2009-10,TBL,29,82,63,-16,19,5,0,3,26,20,0,8.1,491,8.1,491,19:47,80,21,33,47
12,2010-11,TBL,30,65,43,-5,13,12,0,5,13,16,0,11.9,348,11.9,348,18:27,93,25,35,26
13,2011-12,TBL,31,64,50,-2,17,5,0,5,21,6,0,12.1,308,12.1,308,18:56,103,31,24,34
14,2012-13,TBL,32,39,29,-5,5,5,0,0,18,4,0,11.6,136,11.6,136,17:53,74,13,12,7
15,2013-14,PHI,33,69,44,-16,12,8,0,3,12,5,0,15.2,240,15.2,240,15:11,77,19,16,27
16,2014-15,PHI,34,57,36,-7,7,1,0,0,9,3,0,7.8,187,7.8,187,12:39,40,15,11,16
17,2015-16,TOT,35,49,22,0,4,6,0,0,7,1,0,14.9,113,14.9,113,13:14,62,22,13,14
18,2015-16,PHI,35,7,2,-1,0,0,0,0,1,0,0,0.0,8,0.0,8,9:28,2,1,2,1
19,2015-16,LAK,35,42,20,1,4,6,0,0,6,1,0,16.7,105,16.7,105,13:52,60,21,11,13
