,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1998-99,NYR,18,73,13,-2,7,1,0,2,8,0,0,13.1,,13.1,,8:36,,,,
2,1999-00,NYR,19,27,4,-6,0,0,0,0,0,0,0,0.0,,0.0,,6:42,,,,
3,2000-01,NYR,20,50,31,-10,4,0,0,2,7,1,0,8.7,,8.7,,9:03,,,,
4,2001-02,TOT,21,72,47,-4,7,0,1,1,6,0,0,13.3,,13.3,,10:19,,,,
5,2001-02,NYR,21,56,42,-1,6,0,1,1,6,0,0,17.1,,17.1,,10:14,,,,
6,2001-02,DAL,21,16,5,-3,1,0,0,0,0,0,0,5.3,,5.3,,10:37,,,,
7,2002-03,DAL,22,59,42,-2,3,0,0,1,7,0,0,4.8,,4.8,,9:22,,,,
8,2003-04,TOT,23,65,28,-7,11,1,0,2,9,4,0,11.2,,11.2,,13:49,,,,
9,2003-04,DAL,23,9,4,-2,0,0,0,0,0,0,0,0.0,,0.0,,7:48,,,,
10,2003-04,CBJ,23,56,24,-5,11,1,0,2,9,4,0,11.7,,11.7,,14:47,,,,
11,2005-06,CBJ,25,58,41,1,8,1,1,0,18,3,0,9.8,,9.8,,16:21,,,,
12,2006-07,CBJ,26,82,76,-8,7,2,0,3,16,0,0,8.3,,8.3,,14:48,,,,
13,2007-08,CBJ,27,71,34,-3,9,2,0,2,16,1,1,9.8,183,9.8,183,16:28,64,40,29,19
14,2008-09,CBJ,28,77,28,9,11,0,0,3,17,6,1,9.5,204,9.5,204,18:01,74,52,40,19
15,2009-10,SJS,29,71,41,17,12,2,0,4,13,6,0,12.6,201,12.6,201,15:37,66,38,30,28
16,2010-11,VAN,30,72,22,9,7,3,1,2,15,3,1,9.9,196,9.9,196,16:10,57,74,40,18
17,2011-12,VAN,31,78,14,-11,7,0,0,2,11,0,0,11.7,104,11.7,104,12:21,44,45,22,22
18,2012-13,VAN,32,9,0,-3,0,0,0,0,0,0,0,0.0,6,0.0,6,11:08,8,4,3,0
19,2013-14,CAR,33,69,18,0,7,0,0,1,5,0,1,13.2,86,13.2,86,11:36,82,56,24,21
20,2014-15,MTL,34,58,12,-6,1,0,0,1,3,0,0,2.2,79,2.2,79,10:51,37,62,14,23
