,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,OTT,22,72,231,5,9,1,0,0,7,0,0,17.9,,17.9,,8:22,,,,
2,2002-03,OTT,23,68,147,8,6,0,0,0,4,0,0,9.7,,9.7,,7:40,,,,
3,2003-04,OTT,24,82,194,13,8,0,0,1,7,1,0,10.5,,10.5,,8:51,,,,
4,2005-06,OTT,26,79,204,9,8,8,0,0,12,5,0,12.7,,12.7,,12:18,,,,
5,2006-07,OTT,27,82,177,6,9,3,0,3,14,2,0,8.6,,8.6,,13:08,,,,
6,2007-08,OTT,28,68,199,-3,6,0,0,1,14,0,0,7.7,145,7.7,145,12:46,204,10,21,20
7,2008-09,OTT,29,60,146,-13,3,0,0,0,7,0,0,5.1,98,5.1,98,10:58,163,15,22,8
8,2009-10,OTT,30,68,175,-1,9,1,0,2,12,0,0,10.0,168,10.0,168,11:59,242,8,34,15
9,2010-11,OTT,31,80,210,-14,6,0,0,2,10,0,0,5.7,191,5.7,191,12:46,258,21,35,20
10,2011-12,OTT,32,72,178,-10,11,2,0,0,11,4,0,10.2,192,10.2,192,12:48,271,20,21,20
11,2012-13,OTT,33,48,144,0,4,0,0,3,5,3,0,4.6,136,4.6,136,13:52,206,10,13,9
12,2013-14,OTT,34,76,211,-10,8,0,0,0,5,1,0,8.1,174,8.1,174,11:48,253,18,16,13
13,2014-15,OTT,35,38,78,5,3,1,0,0,3,0,0,17.4,47,17.4,47,9:44,136,11,4,2
14,2015-16,OTT,36,80,165,-3,5,0,0,0,8,0,0,7.1,134,7.1,134,9:18,215,12,11,12
15,2016-17,OTT,37,22,29,-5,1,0,0,0,1,0,0,4.5,33,4.5,33,8:20,50,10,4,5
