,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,MTL,19,19,2,-6,0,1,0,0,0,1,0,5.6,,5.6,,10:40,,,,
2,2000-01,MTL,20,2,2,0,0,0,0,0,0,0,0,0.0,,0.0,,10:38,,,,
3,2001-02,MTL,21,43,12,-11,5,3,0,0,7,3,0,16.7,,16.7,,13:55,,,,
4,2002-03,MTL,22,52,6,-3,3,2,0,0,10,2,0,8.8,,8.8,,11:07,,,,
5,2003-04,MTL,23,81,34,15,13,7,0,5,28,17,0,19.4,,19.4,,17:05,,,,
6,2005-06,MTL,25,79,36,-6,8,8,0,2,18,17,0,12.3,,12.3,,16:35,,,,
7,2006-07,DAL,26,81,22,3,12,6,0,3,20,21,0,16.2,,16.2,,14:56,,,,
8,2007-08,DAL,27,76,46,21,20,7,0,5,32,24,0,<str,180,<str,180,18:26,53,23,43,88
9,2008-09,DAL,28,82,52,-4,15,7,0,1,40,16,0,13.5,273,13.5,273,20:57,117,28,67,78
10,2009-10,DAL,29,66,38,-5,9,8,2,0,17,15,2,12.3,244,12.3,244,19:32,93,27,47,73
11,2010-11,DAL,30,82,28,-4,12,7,0,4,36,16,0,11.8,286,11.8,286,19:58,95,33,72,71
12,2011-12,DAL,31,74,66,5,16,2,0,5,32,13,0,12.7,247,12.7,247,20:03,113,46,39,64
13,2012-13,WSH,32,48,53,-4,7,6,0,1,15,21,0,20.6,99,20.6,99,17:50,55,29,22,22
14,2013-14,PHX,33,80,52,-13,12,4,0,3,20,11,0,14.5,176,14.5,176,17:00,72,18,24,46
15,2014-15,NSH,34,82,52,11,14,1,0,3,36,11,0,15.6,169,15.6,169,18:45,42,19,32,47
16,2015-16,NSH,35,81,62,11,5,2,0,0,30,13,0,9.2,123,9.2,123,17:27,61,20,22,50
17,2016-17,NSH,36,22,12,0,1,2,0,0,8,2,0,15.8,39,15.8,39,15:54,13,3,6,13
