,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,TBL,20,82,14,-10,14,7,0,3,22,19,0,11.7,,11.7,,16:54,,,,
2,2001-02,TBL,21,82,13,-18,15,5,0,0,28,14,0,8.0,,8.0,,19:48,,,,
3,2002-03,TBL,22,80,24,3,13,4,0,2,23,34,0,6.1,,6.1,,19:56,,,,
4,2003-04,TBL,23,82,12,13,20,5,1,6,31,21,1,10.7,,10.7,,20:26,,,,
5,2005-06,TBL,25,82,32,0,12,7,4,0,28,39,1,8.2,,8.2,,22:45,,,,
6,2006-07,TBL,26,82,23,-19,12,12,1,3,23,21,1,9.2,,9.2,,24:07,,,,
7,2007-08,TOT,27,74,15,-27,9,9,2,4,22,19,1,8.0,473,8.0,473,23:28,12,22,47,46
8,2007-08,TBL,27,62,15,-25,8,9,1,4,16,16,1,7.9,429,7.9,429,24:17,12,19,42,38
9,2007-08,DAL,27,12,0,-2,1,0,1,0,6,3,0,9.5,51,9.5,51,19:15,0,3,5,8
10,2008-09,DAL,28,56,6,-4,11,5,0,2,16,14,2,8.9,313,8.9,313,20:29,11,22,46,63
11,2009-10,DAL,29,80,14,-12,11,13,0,2,40,27,0,8.5,553,8.5,553,20:52,16,22,57,73
12,2010-11,DAL,30,72,24,1,21,7,0,3,27,22,0,10.3,521,10.3,521,21:43,20,22,47,73
13,2011-12,NYR,31,82,22,-1,18,7,0,9,24,17,0,10.9,428,10.9,428,20:16,51,49,47,46
14,2012-13,NYR,32,46,14,8,8,3,0,1,17,6,0,10.0,221,10.0,221,18:49,25,43,31,24
15,2013-14,NYR,33,82,18,-8,15,5,0,2,17,14,0,7.7,491,7.7,491,18:40,24,43,33,46
16,2014-15,CHI,34,76,12,3,10,2,0,3,20,5,0,6.0,322,6.0,322,14:53,32,27,22,31
17,2015-16,DET,35,68,8,4,6,4,0,1,8,10,0,6.1,307,6.1,307,14:48,16,12,15,22
