,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,VAN,24,8,6,-1,0,0,0,0,1,0,0,0.0,,0.0,,8:47,,,,
2,2000-01,VAN,25,21,32,1,2,0,1,0,3,0,0,13.0,,13.0,,10:39,,,,
3,2001-02,VAN,26,49,74,-1,2,0,0,0,7,0,0,5.4,,5.4,,10:11,,,,
4,2002-03,VAN,27,36,66,-7,2,0,0,1,2,0,0,5.6,,5.6,,8:58,,,,
5,2003-04,VAN,28,71,133,-13,5,1,0,0,6,1,1,8.6,,8.6,,11:29,,,,
6,2005-06,VAN,30,82,142,1,8,2,0,2,7,0,0,11.8,,11.8,,11:42,,,,
7,2006-07,PIT,31,81,125,0,7,0,0,2,9,0,0,11.1,,11.1,,9:20,,,,
8,2007-08,PIT,32,71,138,3,5,0,1,1,10,0,0,10.9,106,10.9,106,10:12,134,19,21,12
9,2008-09,OTT,33,78,144,0,6,0,1,0,12,0,2,7.9,143,7.9,143,11:43,148,37,26,19
10,2009-10,OTT,34,82,121,-2,12,0,0,1,12,1,1,11.3,169,11.3,169,13:21,133,43,59,28
11,2010-11,TOT,35,73,97,-2,3,0,0,1,8,0,1,4.5,122,4.5,122,11:22,131,29,17,23
12,2010-11,OTT,35,50,59,-2,2,0,0,1,7,0,1,4.3,90,4.3,90,12:28,83,24,16,21
13,2010-11,ANA,35,23,38,0,1,0,0,0,1,0,0,5.0,32,5.0,32,8:59,48,5,1,2
