,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,SJS,24,4,0,0,0,0,0,0,0,0,0,0.0,,0.0,,4:41,,,,
2,2001-02,NYR,25,67,23,10,3,1,2,1,10,0,0,6.4,,6.4,,11:52,,,,
3,2002-03,TOT,26,80,40,-21,7,2,1,2,10,3,1,6.5,,6.5,,15:08,,,,
4,2002-03,NYR,26,58,32,0,6,1,1,2,10,3,1,6.8,,6.8,,15:32,,,,
5,2002-03,PIT,26,22,8,-21,1,1,0,0,0,0,0,5.6,,5.6,,14:04,,,,
6,2003-04,FLA,27,37,35,0,3,0,0,1,5,1,0,6.0,,6.0,,12:15,,,,
7,2005-06,DET,29,71,42,27,16,7,0,3,16,6,0,12.3,,12.3,,13:31,,,,
8,2006-07,DET,30,53,28,1,8,6,0,2,12,8,0,7.4,,7.4,,15:09,,,,
9,2007-08,DET,31,73,26,21,8,3,0,1,21,8,0,4.4,397,4.4,397,16:16,74,21,20,29
10,2008-09,DET,32,81,50,0,12,7,0,1,8,13,0,7.4,419,7.4,419,15:22,91,23,20,43
11,2009-10,VAN,33,74,64,10,23,7,0,4,16,7,0,13.7,385,13.7,385,17:10,50,16,34,42
12,2010-11,VAN,34,75,36,8,13,5,0,2,18,14,0,8.4,382,8.4,382,16:38,76,21,25,36
13,2011-12,TOT,35,54,20,1,7,7,0,1,11,6,0,10.1,240,10.1,240,15:57,79,11,23,15
14,2011-12,VAN,35,6,6,-1,0,1,0,0,1,1,0,7.7,29,7.7,29,15:53,5,2,2,3
15,2011-12,FLA,35,48,14,2,7,6,0,1,10,5,0,10.4,211,10.4,211,15:57,74,9,21,12
16,2012-13,DET,36,4,0,-3,0,0,0,0,1,0,0,0.0,11,0.0,11,12:52,6,1,1,1
17,2013-14,DET,37,26,6,-4,1,0,0,0,0,2,0,2.8,56,2.8,56,10:21,13,3,4,9
