,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,PIT,25,13,4,2,1,0,0,0,2,0,0,25.0,,25.0,,20:06,,,,
2,2005-06,PIT,27,57,36,-18,0,0,0,0,4,0,0,0.0,,0.0,,20:15,,,,
3,2006-07,PIT,28,78,28,3,1,0,0,0,9,0,1,3.2,,3.2,,18:49,,,,
4,2007-08,PIT,29,71,26,3,0,0,0,0,5,0,0,0.0,58,0.0,58,18:45,32,110,21,25
5,2008-09,PIT,30,81,18,23,1,0,0,0,15,0,0,2.0,88,2.0,88,19:10,61,164,26,36
6,2009-10,LAK,31,73,21,16,0,0,0,0,11,0,0,0.0,77,0.0,77,19:16,68,108,22,33
7,2010-11,LAK,32,82,16,1,2,0,0,1,13,0,0,4.3,118,4.3,118,20:17,64,122,22,59
8,2011-12,LAK,33,82,16,-7,1,0,0,0,8,0,0,1.6,150,1.6,150,20:37,60,115,16,52
9,2012-13,LAK,34,48,4,-6,1,0,0,0,10,0,1,3.0,73,3.0,73,21:47,30,66,6,41
10,2013-14,PIT,35,53,2,-8,0,0,0,0,4,0,0,0.0,50,0.0,50,18:55,18,90,7,21
11,2014-15,PIT,36,82,17,9,1,0,0,0,8,0,1,1.9,118,1.9,118,19:09,41,110,8,44
12,2015-16,TOT,37,63,10,7,0,0,0,0,9,0,1,0.0,71,0.0,71,15:49,31,75,5,29
13,2015-16,PIT,37,25,8,4,0,0,0,0,3,0,1,0.0,25,0.0,25,17:05,10,32,1,12
14,2015-16,CHI,37,17,0,-6,0,0,0,0,0,0,0,0.0,21,0.0,21,11:06,7,10,3,5
15,2015-16,LAK,37,21,2,9,0,0,0,0,6,0,0,0.0,25,0.0,25,18:07,14,33,1,12
