,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,OTT,27,767,793,49.2,-3.3,579,617,48.4,-3.2,8.5,91.7,100.,48.8,51.2
2,2008-09,OTT,28,796,871,47.8,-4.2,590,624,48.6,-4.1,6.6,90.6,97.2,48.9,51.1
3,2009-10,OTT,29,814,773,51.3,-1.5,595,557,51.6,-2.3,9.1,88.1,97.2,53.4,46.6
4,2010-11,TOT,30,906,887,50.5,-0.1,660,647,50.5,1.0,7.1,88.8,95.9,45.5,54.5
5,2010-11,OTT,30,625,618,50.3,-0.7,467,449,51.0,1.2,7.4,87.5,94.9,48.1,51.9
6,2010-11,BOS,30,281,269,51.1,1.2,193,198,49.4,0.5,6.5,91.7,98.1,39.6,60.4
7,2011-12,BOS,31,981,916,51.7,-4.3,731,679,51.8,-3.3,11.2,94.3,105.,48.0,52.0
8,2012-13,BOS,32,375,367,50.5,-8.6,267,262,50.5,-7.9,5.3,90.2,95.5,32.9,67.1
9,2013-14,BOS,33,627,606,50.9,-5.1,452,457,49.7,-6.0,9.3,91.8,101.,44.5,55.5
10,2014-15,BOS,34,933,891,51.2,-1.1,679,657,50.8,0.0,7.9,92.7,100.,45.6,54.4
11,2015-16,BOS,35,79,116,40.5,-13.,59,83,41.5,-12.,13.0,92.5,105.,48.5,51.5
12,2016-17,OTT,36,189,278,40.5,-9.4,145,187,43.7,-6.6,4.4,94.9,99.2,47.1,52.9
