,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,VAN,27,1114,915,54.9,7.6,874,691,55.8,8.4,8.2,91.1,99.3,57.6,42.4
2,2008-09,VAN,28,1134,961,54.1,7.4,859,776,52.5,5.5,10.5,93.3,103.,54.0,46.0
3,2009-10,VAN,29,1059,809,56.7,8.8,797,640,55.5,7.7,13.9,90.4,104.,62.5,37.5
4,2010-11,VAN,30,1278,984,56.5,4.8,951,778,55.0,2.9,10.7,92.8,103.,74.1,25.9
5,2011-12,VAN,31,1206,811,59.8,8.6,885,645,57.8,8.2,8.7,92.3,101.,80.8,19.2
6,2012-13,VAN,32,773,479,61.7,14.1,555,374,59.7,12.9,8.9,93.0,101.,66.1,33.9
7,2013-14,VAN,33,1213,907,57.2,7.0,902,674,57.2,7.0,6.7,91.6,98.3,61.0,39.0
8,2014-15,VAN,34,1099,985,52.7,4.9,832,740,52.9,4.0,9.3,89.8,99.0,54.3,45.7
9,2015-16,VAN,35,1043,1038,50.1,3.9,793,817,49.3,3.7,9.1,92.8,101.,59.9,40.1
10,2016-17,VAN,36,335,311,51.9,2.7,248,240,50.8,2.2,7.7,89.6,97.3,67.9,32.1
