,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,VAN,27,1098,989,52.6,4.4,856,756,53.1,4.7,9.3,90.4,99.7,54.7,45.3
2,2008-09,VAN,28,1181,1009,53.9,7.5,887,805,52.4,5.7,10.5,92.9,103.,51.5,48.5
3,2009-10,VAN,29,1363,1077,55.9,7.1,1029,861,54.4,5.4,13.2,90.7,103.,58.5,41.5
4,2010-11,VAN,30,1323,1061,55.5,3.6,991,833,54.3,2.3,10.4,92.0,102.,71.1,28.9
5,2011-12,VAN,31,1368,977,58.3,7.0,1011,772,56.7,6.5,9.3,92.7,102.,79.4,20.6
6,2012-13,VAN,32,801,511,61.1,13.2,586,399,59.5,12.7,9.4,93.7,103.,64.1,35.9
7,2013-14,VAN,33,1160,897,56.4,6.5,846,675,55.6,4.9,7.4,91.8,99.2,61.3,38.7
8,2014-15,VAN,34,1146,988,53.7,6.3,865,728,54.3,5.9,9.9,89.7,99.6,54.2,45.8
9,2015-16,VAN,35,966,931,50.9,4.7,733,720,50.4,5.0,8.6,92.3,100.,60.6,39.4
10,2016-17,VAN,36,344,307,52.8,4.1,250,237,51.3,2.9,7.6,88.7,96.3,67.1,32.9
