,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,PHX,26,877,936,48.4,-3.4,701,726,49.1,-2.7,8.4,92.8,101.,50.1,49.9
2,2008-09,TBL,27,164,173,48.7,3.9,130,130,50.0,4.8,6.4,93.3,99.7,63.6,36.4
3,2009-10,PHX,28,1013,869,53.8,2.1,770,666,53.6,2.6,6.7,93.8,100.,49.7,50.3
4,2010-11,PHX,29,992,951,51.1,0.9,766,739,50.9,1.8,7.8,93.5,101.,49.8,50.2
5,2011-12,PHX,30,1118,980,53.3,4.5,831,777,51.7,3.4,9.4,94.7,104.,53.1,46.9
6,2012-13,PHX,31,510,493,50.8,1.4,389,370,51.3,0.8,7.4,94.9,102.,61.8,38.2
7,2013-14,PHX,32,1185,1096,52.0,0.5,910,830,52.3,1.8,7.5,91.4,98.9,53.8,46.2
8,2014-15,VAN,33,1002,966,50.9,2.3,745,713,51.1,1.5,9.5,91.2,100.,52.7,47.3
9,2015-16,VAN,34,726,791,47.9,0.2,561,609,47.9,0.7,5.9,88.9,94.8,49.6,50.4
10,2016-17,ARI,35,286,311,47.9,3.3,221,243,47.6,4.7,9.8,88.9,98.6,41.4,58.6
