,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,WSH,19,4,2,-2,0,0,0,0,0,0,0,</td,,</td,,7:29,,,,
2,2001-02,PIT,20,79,45,-25,8,2,0,0,10,5,0,7.9,,7.9,,13:33,,,,
3,2002-03,PIT,21,12,6,-3,0,0,0,0,1,0,0,0.0,,0.0,,10:34,,,,
4,2003-04,PIT,22,4,6,0,0,0,0,0,0,1,0,0.0,,0.0,,12:32,,,,
5,2005-06,TOT,24,10,4,1,1,0,0,0,1,1,0,8.3,,8.3,,12:02,,,,
6,2005-06,NSH,24,5,0,1,1,0,0,0,1,1,0,16.7,,16.7,,14:40,,,,
7,2005-06,WSH,24,5,4,0,0,0,0,0,0,0,0,0.0,,0.0,,9:24,,,,
8,2006-07,WSH,25,64,46,-11,5,3,0,0,10,8,0,10.4,,10.4,,12:28,,,,
9,2007-08,TOT,26,25,4,3,4,2,0,0,4,1,0,16.7,46,16.7,46,11:30,33,3,6,5
10,2007-08,CBJ,26,16,2,3,3,2,0,0,3,1,0,20.8,33,20.8,33,12:00,22,3,5,4
11,2007-08,VAN,26,4,0,1,1,0,0,0,1,0,0,16.7,7,16.7,7,9:37,3,0,0,1
12,2007-08,PIT,26,5,2,-1,0,0,0,0,0,0,0,0.0,6,0.0,6,8:14,8,0,1,0
