,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,FLA,22,78,8,-6,9,0,1,2,17,1,0,7.5,,7.5,,13:50,,,,
2,2002-03,FLA,23,80,20,-8,6,2,0,0,14,1,0,6.1,,6.1,,13:31,,,,
3,2003-04,FLA,24,75,22,-5,9,0,1,2,12,1,0,8.2,,8.2,,14:47,,,,
4,2005-06,TOT,26,84,18,-10,7,0,1,0,10,1,2,6.3,,6.3,,12:15,,,,
5,2005-06,FLA,26,30,2,-8,2,0,0,0,4,0,0,3.8,,3.8,,13:00,,,,
6,2005-06,DAL,26,54,16,-2,5,0,1,0,6,1,2,8.1,,8.1,,11:17,,,,
7,2006-07,DAL,27,82,34,3,14,2,1,2,9,3,0,11.2,,11.2,,14:26,,,,
8,2007-08,DAL,28,82,51,4,19,4,4,8,10,3,1,15.2,287,15.2,287,15:36,40,13,40,52
9,2008-09,TOR,29,65,4,-5,16,6,0,3,13,7,0,13.1,289,13.1,289,17:05,22,24,31,34
10,2009-10,TOT,30,82,25,-4,21,4,0,2,15,4,0,11.6,363,11.6,363,16:07,34,29,28,22
11,2009-10,TOR,30,55,23,-3,16,4,0,1,11,2,0,13.5,262,13.5,262,16:09,26,20,14,16
12,2009-10,CGY,30,27,2,-1,5,0,0,1,4,2,0,7.4,101,7.4,101,16:05,8,9,14,6
13,2010-11,CGY,31,71,24,-2,7,4,0,0,13,3,0,7.9,255,7.9,255,13:38,35,12,12,25
14,2011-12,TOT,32,71,14,-7,7,2,0,2,14,0,0,7.2,236,7.2,236,14:35,49,29,20,17
15,2011-12,CGY,32,8,2,3,0,1,0,1,3,0,0,7.1,28,7.1,28,14:11,3,2,2,5
16,2011-12,ANA,32,63,12,-10,7,1,0,1,11,0,0,7.2,208,7.2,208,14:38,46,27,18,12
