,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,NSH,21,1,0,0,0,0,0,0,1,0,0,0.0,,0.0,,14:04,,,,
2,2002-03,NSH,22,79,31,-8,8,8,0,2,8,4,0,11.0,,11.0,,14:09,,,,
3,2003-04,NSH,23,79,37,-8,7,6,0,1,10,2,2,8.6,,8.6,,16:14,,,,
4,2005-06,NSH,25,75,40,0,4,10,0,5,7,6,2,11.5,,11.5,,16:47,,,,
5,2006-07,TOT,26,72,26,-11,3,3,0,0,7,3,1,5.8,,5.8,,12:23,,,,
6,2006-07,NYR,26,49,18,-13,1,3,0,0,4,3,1,6.6,,6.6,,12:27,,,,
7,2006-07,MIN,26,23,8,2,2,0,0,0,3,0,0,4.8,,4.8,,12:13,,,,
8,2007-08,PIT,27,46,24,-2,2,0,0,0,3,1,0,5.1,60,5.1,60,11:52,45,30,7,2
9,2008-09,TBL,28,74,29,-9,4,1,0,0,4,1,0,5.6,143,5.6,143,11:12,85,37,18,6
10,2010-11,TBL,30,82,32,-12,7,0,0,1,11,0,0,4.2,248,4.2,248,14:51,152,59,22,18
11,2011-12,TBL,31,57,17,-11,2,0,0,1,5,0,0,3.2,89,3.2,89,11:52,89,30,12,6
12,2012-13,TOT,32,37,23,0,0,0,0,0,4,0,0,0.0,52,0.0,52,10:32,59,26,11,6
13,2012-13,TBL,32,20,23,3,0,0,0,0,4,0,0,0.0,21,0.0,21,10:18,28,11,7,3
14,2012-13,CAR,32,6,0,-2,0,0,0,0,0,0,0,0.0,9,0.0,9,10:31,19,5,1,1
15,2012-13,PHI,32,11,0,-1,0,0,0,0,0,0,0,0.0,22,0.0,22,10:59,12,10,3,2
16,2013-14,PHI,33,80,23,-15,2,0,2,0,5,0,0,6.6,103,6.6,103,9:50,77,46,18,6
