,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,OTT,19,73,20,8,12,7,0,5,16,5,2,14.3,,14.3,,13:47,,,,
2,2001-02,OTT,20,72,66,-7,13,9,0,6,18,10,0,15.2,,15.2,,14:46,,,,
3,2002-03,OTT,21,67,30,20,15,9,0,4,26,9,0,13.4,,13.4,,16:27,,,,
4,2003-04,OTT,22,68,46,12,18,13,0,7,20,17,0,17.7,,17.7,,16:44,,,,
5,2005-06,OTT,24,18,4,6,6,2,1,1,3,3,1,15.8,,15.8,,18:11,,,,
6,2006-07,CHI,25,56,28,15,20,5,0,1,20,11,1,14.2,,14.2,,21:24,,,,
7,2007-08,CHI,26,35,22,4,7,3,0,2,13,4,0,11.5,121,11.5,121,18:35,5,9,19,7
8,2008-09,CHI,27,81,30,29,24,5,0,5,39,9,0,11.6,352,11.6,352,17:25,19,12,30,16
9,2009-10,MIN,28,73,34,-19,14,4,0,3,22,14,0,10.7,295,10.7,295,17:56,21,17,30,31
10,2010-11,MIN,29,78,52,-10,19,3,0,4,29,11,0,9.6,369,9.6,369,18:21,34,24,43,47
11,2011-12,SJS,30,39,22,10,3,4,0,1,15,4,1,7.3,171,7.3,171,17:37,6,14,19,25
12,2012-13,SJS,31,40,30,7,7,1,0,1,7,3,0,9.0,144,9.0,144,15:51,6,13,8,20
13,2013-14,SJS,32,48,10,14,11,1,0,2,9,1,0,16.7,138,16.7,138,14:43,9,14,15,34
14,2014-15,NJD,33,40,10,-11,2,3,0,1,6,3,0,10.2,84,10.2,84,14:48,11,11,20,12
15,2015-16,STL,34,2,0,0,1,0,0,1,0,0,0,33.3,4,33.3,4,10:54,1,0,3,0
