,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,BUF,22,6,2,1,0,0,0,0,0,0,0,0.0,,0.0,,7:42,,,,
2,2003-04,BUF,23,4,19,0,0,0,0,0,0,0,0,0.0,,0.0,,8:26,,,,
3,2006-07,TBL,26,75,53,-11,2,0,0,0,9,0,0,4.1,,4.1,,14:28,,,,
4,2007-08,TBL,27,61,45,-3,1,0,0,0,3,0,0,4.3,61,4.3,61,9:20,33,44,7,16
5,2008-09,TOT,28,15,4,-3,0,0,0,0,1,0,0,0.0,13,0.0,13,10:18,8,16,5,6
6,2008-09,DAL,28,13,2,-2,0,0,0,0,1,0,0,0.0,9,0.0,9,9:45,8,13,5,4
7,2008-09,MTL,28,2,2,-1,0,0,0,0,0,0,0,</td,4,</td,4,13:54,0,3,0,2
8,2009-10,DET,29,13,18,-3,0,0,0,0,2,0,0,0.0,13,0.0,13,13:28,4,15,4,6
9,2010-11,DET,30,7,7,-2,0,0,0,0,0,0,0,0.0,16,0.0,16,13:13,2,7,0,5
10,2011-12,DET,31,9,6,2,0,0,0,0,1,0,0,0.0,25,0.0,25,14:30,7,6,2,2
