,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,TOT,26,51,10,-10,0,0,1,0,5,10,0,1.3,,1.3,,19:09,,,,
2,1999-00,LAK,26,37,4,3,0,0,0,0,3,6,0,0.0,,0.0,,17:04,,,,
3,1999-00,ATL,26,14,6,-13,0,0,1,0,2,4,0,2.9,,2.9,,24:39,,,,
4,2000-01,ATL,27,51,18,11,3,1,0,1,6,4,1,4.0,,4.0,,22:17,,,,
5,2001-02,ATL,28,61,24,-11,4,1,0,0,11,9,0,6.1,,6.1,,21:35,,,,
6,2002-03,ATL,29,79,32,-19,3,3,1,2,12,7,0,6.7,,6.7,,21:57,,,,
7,2003-04,ATL,30,67,30,2,1,2,0,1,10,16,0,3.2,,3.2,,23:20,,,,
8,2005-06,CAR,32,77,46,8,5,1,0,3,21,16,1,4.8,,4.8,,19:37,,,,
9,2006-07,CAR,33,27,20,8,1,1,0,1,4,2,0,6.1,,6.1,,15:32,,,,
10,2007-08,CAR,34,80,30,-4,0,0,0,0,12,10,0,0.0,186,0.0,186,17:09,28,82,26,17
11,2008-09,CAR,35,30,8,-4,0,1,0,0,5,2,0,3.6,74,3.6,74,14:03,16,34,7,8
