,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,OTT,23,4,0,-2,0,0,0,0,0,0,0,0.0,,0.0,,9:29,,,,
2,2005-06,OTT,25,82,76,21,9,1,0,2,13,1,6,8.9,,8.9,,12:20,,,,
3,2006-07,OTT,26,82,40,28,12,1,2,0,19,1,3,11.5,,11.5,,15:18,,,,
4,2007-08,OTT,27,75,30,3,10,0,1,1,16,1,2,8.9,215,8.9,215,16:36,64,35,50,35
5,2008-09,OTT,28,82,38,-10,11,0,1,1,9,0,2,10.2,193,10.2,193,15:36,97,59,48,30
6,2009-10,OTT,29,81,38,-7,15,0,0,3,17,0,0,13.4,194,13.4,194,14:58,65,44,39,33
7,2010-11,TOT,30,81,33,-13,13,0,1,2,12,0,2,12.4,215,12.4,215,15:25,81,54,40,25
8,2010-11,OTT,30,57,27,-12,11,0,1,2,9,0,2,13.5,171,13.5,171,15:39,51,35,27,21
9,2010-11,BOS,30,24,6,-1,2,0,0,0,3,0,0,8.3,44,8.3,44,14:52,30,19,13,4
10,2011-12,BOS,31,82,41,33,17,1,2,6,19,0,0,16.4,200,16.4,200,14:44,79,56,35,15
11,2012-13,BOS,32,34,16,-8,2,1,0,0,6,0,0,7.5,70,7.5,70,14:58,43,20,19,9
12,2013-14,BOS,33,57,32,2,8,0,1,0,9,0,0,13.0,122,13.0,122,14:42,72,29,32,12
13,2014-15,BOS,34,80,48,6,6,0,1,2,20,0,1,6.3,188,6.3,188,15:08,126,61,28,16
14,2015-16,BOS,35,11,0,3,1,0,1,0,0,0,0,25.0,14,25.0,14,13:05,13,13,2,2
15,2016-17,OTT,36,23,4,-2,1,0,0,0,2,0,0,3.3,49,3.3,49,13:07,23,16,8,8
