,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,PIT,23,11,9,-1,1,0,0,0,2,0,0,12.5,,12.5,,12:03,,,,
2,2002-03,PIT,24,8,0,-4,0,0,0,0,0,1,0,0.0,,0.0,,4:33,,,,
3,2003-04,PIT,25,60,67,-14,6,2,1,1,10,3,0,8.9,,8.9,,14:26,,,,
4,2005-06,LAK,27,76,100,-8,8,0,0,1,13,0,1,10.8,,10.8,,12:56,,,,
5,2006-07,LAK,28,76,73,-2,7,0,0,0,14,0,1,7.8,,7.8,,11:34,,,,
6,2007-08,MTL,29,67,113,-3,4,0,3,1,6,0,0,7.1,151,7.1,151,11:16,128,34,11,16
7,2008-09,MTL,30,78,106,-1,7,0,1,0,13,0,1,6.6,202,6.6,202,14:09,167,42,29,27
8,2009-10,CAR,31,82,106,4,6,0,2,0,12,0,1,7.8,184,7.8,184,12:31,154,50,21,8
9,2010-11,TOT,32,76,74,-4,6,2,0,0,9,1,0,10.1,147,10.1,147,12:20,119,40,28,18
10,2010-11,CAR,32,17,30,-1,1,0,0,0,3,0,0,7.7,23,7.7,23,11:17,34,12,5,3
11,2010-11,CGY,32,59,44,-3,5,2,0,0,6,1,0,10.6,124,10.6,124,12:38,85,28,23,15
12,2011-12,CGY,33,81,57,-15,2,1,1,1,8,0,0,4.4,147,4.4,147,12:19,124,48,29,23
13,2012-13,NJD,34,15,18,0,1,0,0,0,0,0,0,7.7,22,7.7,22,9:06,23,3,2,1
