,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,CHI,18,5,4,0,0,1,0,0,0,1,0,25.0,,25.0,,15:09,,,,
2,2000-01,CHI,19,44,8,-7,0,0,0,0,5,0,0,0.0,,0.0,,14:47,,,,
3,2001-02,CHI,20,3,2,-1,0,0,0,0,0,0,0,0.0,,0.0,,11:48,,,,
4,2002-03,CHI,21,57,23,-1,1,0,0,0,3,1,0,1.8,,1.8,,16:25,,,,
5,2003-04,CHI,22,25,8,-9,1,0,0,0,1,2,0,3.4,,3.4,,19:21,,,,
6,2005-06,TOT,24,67,51,3,7,2,0,0,4,3,0,13.6,,13.6,,14:06,,,,
7,2005-06,VAN,24,51,43,3,2,0,0,0,4,0,0,4.3,,4.3,,13:17,,,,
8,2005-06,ATL,24,16,8,0,5,2,0,0,0,3,0,35.0,,35.0,,16:44,,,,
9,2006-07,ATL,25,46,24,4,1,3,0,0,4,8,0,7.8,,7.8,,15:17,,,,
10,2007-08,ATL,26,55,48,-23,1,0,0,0,5,1,0,2.4,68,2.4,68,15:47,99,69,10,14
