,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,LAK,26,55,138,1,2,0,0,0,3,0,0,8.7,,8.7,,4:56,,,,
2,2006-07,TOT,27,34,102,-3,1,0,0,0,0,0,0,5.3,,5.3,,5:03,,,,
3,2006-07,COL,27,2,0,-1,0,0,0,0,0,0,0,0.0,,0.0,,3:33,,,,
4,2006-07,ANA,27,32,102,-2,1,0,0,0,0,0,0,5.6,,5.6,,5:09,,,,
5,2007-08,ANA,28,69,183,3,1,0,0,0,4,0,0,3.3,46,3.3,46,5:57,91,9,9,7
6,2008-09,ANA,29,74,135,8,5,0,0,0,5,0,0,10.6,66,10.6,66,6:16,89,14,6,13
7,2009-10,ANA,30,57,136,4,4,0,0,0,0,0,0,16.0,34,16.0,34,6:00,71,14,3,7
8,2010-11,ANA,31,78,171,-4,3,0,0,1,1,0,0,9.1,64,9.1,64,6:25,97,26,7,13
9,2011-12,ANA,32,46,85,1,1,0,0,0,3,0,0,5.9,29,5.9,29,6:23,57,16,5,8
10,2012-13,FLA,33,39,57,-15,1,0,0,0,1,0,0,6.3,30,6.3,30,6:37,53,13,5,3
11,2013-14,MTL,34,22,85,-6,0,0,0,0,1,0,0,0.0,5,0.0,5,4:33,14,5,0,2
