,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,NYI,19,78,39,-17,3,1,0,2,12,2,0,4.7,,4.7,,12:14,,,,
2,2001-02,BUF,20,48,35,4,10,0,0,0,10,0,0,16.4,,16.4,,13:30,,,,
3,2002-03,BUF,21,78,38,-8,12,2,0,0,12,2,0,12.7,,12.7,,14:06,,,,
4,2003-04,BUF,22,63,25,-7,5,1,2,4,12,0,0,8.2,,8.2,,15:36,,,,
5,2005-06,BUF,24,41,33,-1,6,0,0,1,4,2,0,9.7,,9.7,,11:14,,,,
6,2006-07,VAN,25,76,42,5,14,9,0,4,12,2,0,15.3,,15.3,,13:58,,,,
7,2007-08,VAN,26,79,60,9,9,7,0,2,19,2,0,9.6,250,9.6,250,15:47,76,45,39,25
8,2008-09,VAN,27,69,43,0,10,0,0,1,8,1,0,10.1,153,10.1,153,14:43,86,35,25,18
9,2009-10,PHX,28,74,39,13,11,1,0,3,10,1,0,9.9,205,9.9,205,13:27,113,29,21,7
10,2010-11,PHX,29,76,27,11,16,2,0,6,11,2,0,14.3,215,14.3,215,15:30,143,48,21,14
11,2011-12,PHX,30,73,23,-4,9,0,0,1,9,1,0,8.1,181,8.1,181,12:19,137,20,14,8
12,2012-13,NYR,31,48,6,5,5,1,0,0,4,1,0,10.7,93,10.7,93,13:06,85,28,11,10
13,2013-14,TOT,32,56,20,-24,3,1,0,1,1,0,0,7.7,94,7.7,94,11:35,70,28,12,4
14,2013-14,NYR,32,22,10,-9,0,0,0,0,1,0,0,0.0,38,0.0,38,12:39,24,16,5,1
15,2013-14,PIT,32,34,10,-15,3,1,0,1,0,0,0,13.3,56,13.3,56,10:53,46,12,7,3
