,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,VAN,20,82,38,-2,7,2,0,1,13,7,0,9.2,,9.2,,13:31,,,,
2,2001-02,VAN,21,82,36,9,13,3,0,1,14,6,0,20.5,,20.5,,12:48,,,,
3,2002-03,VAN,22,78,38,9,3,4,1,1,16,15,0,9.9,,9.9,,13:58,,,,
4,2003-04,VAN,23,76,32,23,9,2,0,2,20,11,0,11.1,,11.1,,14:02,,,,
5,2005-06,VAN,25,82,56,11,12,5,1,0,28,27,2,15.9,,15.9,,16:54,,,,
6,2006-07,VAN,26,82,66,19,9,1,0,2,37,34,0,7.5,,7.5,,18:26,,,,
7,2007-08,VAN,27,82,56,6,10,4,1,2,36,25,0,10.6,233,10.6,233,19:31,19,15,31,56
8,2008-09,VAN,28,82,48,22,18,4,0,8,38,22,0,15.4,223,15.4,223,19:31,17,16,42,62
9,2009-10,VAN,29,82,48,35,23,4,2,5,60,23,0,17.5,262,17.5,262,19:41,13,13,44,42
10,2010-11,VAN,30,82,40,26,11,8,0,4,48,27,0,12.1,257,12.1,257,19:16,15,21,43,38
11,2011-12,VAN,31,82,52,23,6,8,0,6,48,19,0,12.4,209,12.4,209,19:05,32,17,31,37
12,2012-13,VAN,32,48,24,19,9,1,1,1,22,12,0,15.7,114,15.7,114,19:21,22,9,21,19
13,2013-14,VAN,33,70,42,3,7,4,0,1,25,14,0,11.3,177,11.3,177,20:40,43,19,22,36
14,2014-15,VAN,34,82,22,11,13,5,0,0,35,20,0,17.8,162,17.8,162,18:37,23,24,33,37
15,2015-16,VAN,35,74,24,0,5,5,1,0,29,15,0,11.1,157,11.1,157,18:23,9,19,23,50
16,2016-17,VAN,36,23,4,-7,4,1,0,1,4,5,0,19.2,52,19.2,52,19:30,5,3,4,17
