,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,COL,20,52,14,7,12,6,0,3,7,5,0,16.1,,16.1,,14:32,,,,
2,2002-03,TOT,21,76,18,-7,10,6,0,4,11,8,0,7.4,,7.4,,14:35,,,,
3,2002-03,COL,21,66,16,0,8,3,0,4,11,8,0,6.4,,6.4,,13:55,,,,
4,2002-03,CAR,21,10,2,-7,2,3,0,0,0,0,0,11.4,,11.4,,19:00,,,,
5,2003-04,CAR,22,80,24,-10,8,4,0,2,11,2,0,6.2,,6.2,,13:42,,,,
6,2005-06,TOT,24,61,22,4,9,6,0,0,13,10,1,8.1,,8.1,,14:54,,,,
7,2005-06,CAR,24,16,6,0,1,1,0,0,3,0,0,5.3,,5.3,,12:37,,,,
8,2005-06,CHI,24,45,16,4,8,5,0,0,10,10,1,8.8,,8.8,,15:43,,,,
9,2006-07,CHI,25,77,26,-4,9,5,0,2,20,6,1,6.5,,6.5,,16:53,,,,
10,2007-08,PHX,26,76,14,6,17,7,3,5,18,9,2,11.0,367,11.0,367,18:12,13,19,24,19
11,2008-09,TBL,27,18,8,-1,2,1,0,0,3,0,0,7.3,69,7.3,69,14:13,3,5,14,8
12,2009-10,PHX,28,82,24,6,17,7,0,4,12,7,0,9.0,397,9.0,397,16:13,17,22,29,21
13,2010-11,PHX,29,79,20,5,9,10,0,2,22,7,0,7.9,380,7.9,380,16:22,42,22,32,28
14,2011-12,PHX,30,77,24,24,25,9,1,12,19,8,0,15.1,399,15.1,399,18:39,57,16,37,24
15,2012-13,PHX,31,34,14,6,9,2,1,1,6,10,0,11.3,174,11.3,174,18:19,26,14,18,11
16,2013-14,PHX,32,80,22,-6,10,10,0,2,20,11,0,7.6,475,7.6,475,17:57,68,27,41,20
17,2014-15,VAN,33,79,20,6,19,12,0,7,21,11,0,11.6,451,11.6,451,16:37,44,25,33,26
18,2015-16,VAN,34,63,12,-30,8,5,0,0,10,4,0,6.5,332,6.5,332,16:03,15,12,20,27
19,2016-17,ARI,35,21,4,-3,6,1,0,0,7,1,0,11.1,112,11.1,112,17:12,15,5,11,9
